,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
0,66.043,-168.57,54.803999999999995,4.0635,0.55496,0.0,0.0,0.017603999999999998,0.0,0.0
1,66.035,-168.57,54.468,4.0422,0.31265,0.0,0.0,0.017512,0.0,0.0
2,66.027,-168.56,54.638999999999996,3.0132,0.022784,0.0,0.0,0.013054,0.0,0.0
3,66.01899999999999,-168.56,54.762,1.4204,0.016794,0.0,0.0,0.0061537,0.0,0.0
4,66.012,-168.55,54.59,2.7783,0.043315,0.0,0.0,0.012036,0.0,0.0
5,66.005,-168.54,54.494,1.8675,0.030147000000000004,0.0,0.0,0.0080905,0.0,0.0
6,66.001,-168.52,54.31,2.8261,0.12415999999999999,0.0,0.0,0.012243,0.0,0.0
7,66.0,-168.5,53.497,2.6716,0.002053,0.0,0.0,0.011574,0.0,0.0
8,66.0,-168.48,54.358999999999995,13.139000000000001,0.012068,1.1234000000000001e-06,2.9570999999999996e-06,0.012828,0.0026435,3.13742e-05
9,66.0,-168.46,56.431999999999995,4.9687,0.010015999999999999,0.0,0.0,0.021526,0.0,0.0
10,66.0,-168.44,57.908,20.09,0.015794,1.5596e-06,4.1054000000000005e-06,0.02688,0.00367,4.35571e-05
11,66.0,-168.42,56.706,4.8639,0.053312,0.0,0.0,0.021072,0.0,0.0
12,66.0,-168.4,56.193000000000005,7.4168,0.080887,0.0,0.0,0.032131,0.0,0.0
13,66.0,-168.38,55.205,43.863,0.21958000000000003,0.0,0.0,0.19003,0.0,0.0
14,66.0,-168.36,54.236999999999995,64.138,0.29973,0.0,0.0,0.27786,0.0,0.0
15,66.0,-168.33,53.985,104.42,0.028687,0.0,0.0,0.45237,0.0,0.0
16,66.0,-168.31,53.692,131.23,0.0017980000000000001,0.0,0.0,0.56852,0.0,0.0
17,66.0,-168.29,53.095,94.449,2.5657,0.0,0.0,0.40918000000000004,0.0,0.0
18,66.0,-168.27,52.92100000000001,65.821,1.5329,0.0,0.0,0.28515,0.0,0.0
19,66.0,-168.25,52.325,32.076,1.0844,0.0,0.0,0.13896,0.0,0.0
20,66.0,-168.23,51.376000000000005,19.589000000000002,3.5323,0.0,0.0,0.084866,0.0,0.0
21,66.0,-168.21,50.09,12.077,2.9457,0.0,0.0,0.052319000000000004,0.0,0.0
22,66.0,-168.19,49.876000000000005,23.849,2.4088,7.3979e-07,1.9474e-06,0.073722,0.0017409000000000003,2.06615e-05
23,66.0,-168.17,49.505,19.418,1.0613,0.0,0.0,0.084122,0.0,0.0
24,66.0,-168.15,48.063,49.68600000000001,0.90036,3.5461000000000002e-06,9.3345e-06,0.069339,0.0083446,9.9036e-05
25,66.0,-168.13,46.159,16.427,0.5431600000000001,0.0,0.0,0.071166,0.0,0.0
26,66.0,-168.11,42.722,46.025,0.46633,3.0876e-06,8.1278e-06,0.072841,0.0072658,8.623299999999999e-05
27,66.0,-168.09,40.959,9.8184,0.052142999999999995,0.0,0.0,0.042536000000000004,0.0,0.0
28,66.0,-168.07,39.595,8.2503,0.33983,0.0,0.0,0.035742,0.0,0.0
29,66.0,-168.05,37.321999999999996,7.2654,0.8392200000000001,0.0,0.0,0.031475,0.0,0.0
30,66.0,-168.03,35.925,5.5906,0.16133,0.0,0.0,0.02422,0.0,0.0
31,66.0,-168.01,34.156,7.6059,0.10355999999999999,0.0,0.0,0.03295,0.0,0.0
32,66.0,-167.99,31.651999999999997,5.6047,0.001078,0.0,0.0,0.024281,0.0,0.0
33,66.0,-167.97,28.444000000000003,279.97,0.10008,2.5746e-05,6.7772e-05,0.077475,0.060584000000000006,0.000719039
34,66.0,-167.95,25.448,7.1699,0.022934,5.428199999999999e-07,1.4288999999999998e-06,0.0057185000000000005,0.0012774000000000001,1.51601e-05
35,66.0,-167.93,22.35,6.6903,0.022205000000000003,6.1245e-07,1.6122e-06,8.0605e-07,0.0014412000000000001,1.71045e-05
36,66.0,-167.9,18.587,6.0369,0.12322000000000001,5.445499999999999e-07,1.4335e-06,7.167000000000001e-07,0.0012814,1.5208699999999999e-05
37,66.0,-167.9,18.587,6.0369,0.12322000000000001,5.445499999999999e-07,1.4335e-06,7.167000000000001e-07,0.0012814,4.03941e-05
38,66.0,-167.9,18.587,6.0369,0.12322000000000001,5.445499999999999e-07,1.4335e-06,7.167000000000001e-07,0.0012814,5.54047e-06
39,66.0,-167.9,19.135,16.074,0.1663,1.4463e-06,3.8073000000000004e-06,1.9034999999999999e-06,0.0034035,1.5208699999999999e-05
40,66.0,-167.9,19.135,16.074,0.1663,1.4463e-06,3.8073000000000004e-06,1.9034999999999999e-06,0.0034035,4.03941e-05
41,66.0,-167.9,19.135,16.074,0.1663,1.4463e-06,3.8073000000000004e-06,1.9034999999999999e-06,0.0034035,5.54047e-06
42,66.0,-167.9,16.385,2.2521,0.03596,1.9838e-07,5.222e-07,2.6109e-07,0.00046682,1.5208699999999999e-05
43,66.0,-167.9,16.385,2.2521,0.03596,1.9838e-07,5.222e-07,2.6109e-07,0.00046682,4.03941e-05
44,66.0,-167.9,16.385,2.2521,0.03596,1.9838e-07,5.222e-07,2.6109e-07,0.00046682,5.54047e-06
45,66.0,-167.92,22.736,11.681,0.88602,1.0644e-06,2.8018e-06,1.4008000000000002e-06,0.0025046,2.97257e-05
46,66.0,-167.92,22.736,11.681,0.88602,1.0644e-06,2.8018e-06,1.4008000000000002e-06,0.0025046,3.86624e-05
47,66.0,-167.92,21.324,15.589,0.030330000000000003,1.3843e-06,3.6439999999999998e-06,1.8219e-06,0.0032576000000000003,2.97257e-05
48,66.0,-167.92,21.324,15.589,0.030330000000000003,1.3843e-06,3.6439999999999998e-06,1.8219e-06,0.0032576000000000003,3.86624e-05
49,66.0,-167.88,11.548,1.7612,0.032069,1.4874e-07,3.9155000000000004e-07,1.9576e-07,0.00035002,4.15424e-06
50,66.0,-167.86,10.199,0.57281,0.20367000000000002,4.7283e-08,1.2447e-07,6.223e-08,0.00011127,1.3205400000000002e-06
51,66.0,-167.84,10.222999999999999,0.49948000000000004,0.046954,4.1229e-08,1.0852999999999999e-07,5.4263e-08,9.7021e-05,1.15148e-06
52,66.0,-167.81,10.589,0.89992,4.2394,7.4364e-08,1.9575e-07,9.7872e-08,0.00017499,2.07692e-06
53,66.0,-167.79,11.24,1.103,0.068425,9.396e-08,2.4734000000000004e-07,1.2365999999999998e-07,0.00022111,2.6242000000000002e-06
54,66.0,-167.77,11.969000000000001,2.1236,0.037318000000000004,1.7898e-07,4.7115000000000003e-07,2.3555999999999997e-07,0.00042118,4.9987300000000005e-06
55,66.0,-167.75,12.962,2.3561,0.051365,1.9659000000000002e-07,5.175e-07,2.5874e-07,0.00046262,5.4905900000000006e-06
56,66.001,-167.73,14.163,1.6273,0.60695,1.371e-07,3.609e-07,1.8044e-07,0.00032262,3.8290300000000005e-06
57,66.001,-167.71,15.328,6.778,0.29207,5.6829e-07,1.496e-06,7.4794e-07,0.0013373,1.58716e-05
58,66.0,-167.69,16.403,7.3852,0.035477,6.437000000000001e-07,1.6944999999999998e-06,8.4719e-07,0.0015148,1.79777e-05
59,66.0,-167.67,17.419,15.241,0.86056,1.3584e-06,3.5757e-06,1.7878e-06,0.0031965,3.79376e-05
60,66.0,-167.65,18.292,7.9816,0.62821,6.962100000000001e-07,1.8327e-06,9.1629e-07,0.0016382999999999999,1.94443e-05
61,66.0,-167.63,18.989,5.5201,0.068655,4.9221e-07,1.2957e-06,6.4781e-07,0.0011583,1.3746799999999999e-05
