,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2)
0,72.50000240000001,-168.4938236,54.46,15.398387000000001
1,72.4996737,-168.46504919999998,54.34,64.538953
2,72.4999304,-168.4373382,54.25,114.50471900000001
3,72.500105,-168.4096744,54.17,153.80086900000003
4,72.50025670000001,-168.3820948,54.06,151.340708
5,72.5004284,-168.3545186,53.97,209.49116899999999
6,72.50041359999999,-168.326895,54.01,191.79073599999998
7,72.50035159999999,-168.29930769999999,53.83,100.79635800000001
8,72.5001613,-168.2716881,53.64,54.895589
9,72.4999367,-168.24410859999998,53.65,64.708588
10,72.4998428,-168.21652790000002,53.67,61.614929
11,72.4996124,-168.1889721,53.67,85.888981
12,72.4993559,-168.1613658,53.7,66.366132
13,72.4993583,-168.13369540000002,53.67,62.27441099999999
14,72.49958170000001,-168.10613490000003,53.48,44.399969
15,72.4998082,-168.07851619999997,53.56,90.934273
16,72.4999622,-168.0508439,53.37,158.689134
17,72.49977059999999,-168.0230977,53.26,222.048222
18,72.4995733,-167.99534530000003,53.22,226.68647400000003
19,72.4993467,-167.9675709,53.18,256.52711999999997
20,72.4990308,-167.939799,53.07,230.636846
21,72.4986328,-167.91212,53.01,137.64954899999998
22,72.49816729999999,-167.884246,52.95,117.175189
23,72.49818499999999,-167.8566029,52.86,258.328204
24,72.4982679,-167.82900949999998,52.78,198.006656
25,72.4984017,-167.8012678,52.76,186.08821
26,72.49854,-167.773559,52.81,232.336607
27,72.498655,-167.7457646,52.66,160.686766
28,72.49878170000001,-167.7180873,52.19,168.68959800000002
29,72.49895,-167.690475,52.09,259.815583
30,72.49906949999999,-167.66281899999998,52.02,221.94522800000001
31,72.49916,-167.6352119,51.86,182.66959400000002
32,72.4992048,-167.60744340000002,51.73,144.99891499999998
33,72.4992541,-167.5797248,51.6,141.472979
34,72.49930529999999,-167.5520585,51.4,206.55058000000002
35,72.49935,-167.524475,51.35,95.525086
36,72.4993817,-167.49659169999998,51.41,184.77472500000005
37,72.4993833,-167.4689633,51.47,157.499157
38,72.49933,-167.4412638,51.31,240.557019
39,72.4993006,-167.41342360000002,51.3,289.650663
40,72.4993142,-167.3856722,51.26,186.366378
41,72.49927290000001,-167.3578255,51.0,325.54369700000007
42,72.4993228,-167.330124,50.86,506.436623
43,72.49931490000002,-167.3024612,51.07,194.215624
44,72.499305,-167.2747294,51.08,251.455225
45,72.49928670000001,-167.2469983,51.13,333.16273299999995
46,72.4992833,-167.21934,51.14,60.56535
47,72.499305,-167.19155769999998,51.26,121.261507
48,72.4993977,-167.16390249999998,51.16,301.82019099999997
49,72.49951,-167.136138,51.11,292.53076
50,72.4996145,-167.10837659999999,51.22,232.58686899999998
51,72.49981,-167.0805897,51.27,172.25652699999998
52,72.49999840000001,-167.052843,51.29,89.11288800000001
53,72.5001375,-167.0252354,51.19,134.68191099999999
54,72.50021329999998,-166.99756159999998,51.24,309.1469220000001
55,72.50021329999998,-166.9699167,51.17,487.31015099999996
56,72.50020479999999,-166.94226709999998,51.07,109.65708400000001
57,72.5001833,-166.91456680000002,51.06,57.07595299999999
58,72.500179,-166.88691269999998,50.77,90.793858
59,72.50016190000001,-166.85920269999997,50.75,94.08440300000001
60,72.50017840000001,-166.8314985,50.79,171.779893
61,72.50038509999999,-166.8049784,50.85,52.991415
62,72.5001833,-166.7962133,50.82,78.40334
63,72.5001069,-166.7683684,50.85,18.793409
64,72.5000233,-166.74056169999997,50.69,25.099165000000003
65,72.4998929,-166.7128039,50.7,32.78107800000001
66,72.4996833,-166.68501830000002,50.73,23.344238999999998
67,72.49945129999999,-166.65729309999998,50.58,37.298471
68,72.49924,-166.62948669999997,50.66,55.310861
69,72.4989803,-166.6017893,50.58,45.235828000000005
70,72.4987107,-166.5739807,50.54,42.098192000000004
71,72.49866540000001,-166.5464455,50.61,65.372306
72,72.4988233,-166.5189532,50.6,129.881169
73,72.4989949,-166.49113,50.72,93.409766
74,72.4992064,-166.4634681,50.7,172.278899
75,72.4994028,-166.4356908,50.79,247.69366500000004
76,72.4994733,-166.4080119,50.8,148.82041600000002
77,72.49953670000001,-166.38024040000002,50.94,112.772555
78,72.49953020000001,-166.35247919999998,51.09,96.374965
79,72.4994773,-166.3246235,51.04,59.719752
80,72.4996621,-166.29687990000002,51.08,92.624196
81,72.49978,-166.2693297,51.1,60.38164
82,72.49985500000001,-166.2413583,51.17,38.360572
83,72.4997958,-166.2135835,51.11,101.05245500000001
84,72.49965870000001,-166.1858265,50.93,60.601290000000006
85,72.49951,-166.1582644,51.05,43.972657999999996
86,72.49951,-166.1305359,50.74,96.17254700000001
87,72.499615,-166.10269169999998,50.67,46.137102
88,72.49971040000001,-166.07493,50.61,46.380853
89,72.4998636,-166.0472266,50.61,85.589017
90,72.5000333,-166.0194969,50.86,112.29245800000001
91,72.500119,-165.9916451,50.88,104.99215299999999
92,72.4999151,-165.96399830000001,50.84,121.251435
93,72.49993,-165.93627949999998,50.71,95.94147600000001
94,72.5000333,-165.90867169999999,50.7,60.82315000000001
95,72.5001074,-165.88097140000002,50.79,113.523792
96,72.50008170000001,-165.85321499999998,50.82,142.211023
97,72.5001233,-165.8254793,50.96,100.527612
98,72.5000865,-165.7977309,51.0,86.067725
99,72.5002648,-165.7701531,50.98,108.66858
100,72.50024,-165.7425533,50.93,121.07399600000001
101,72.50032829999999,-165.714745,50.97,114.46918000000001
102,72.5002917,-165.6869917,50.91,147.084026
103,72.500232,-165.6593522,50.9,116.87205600000001
104,72.50007,-165.6333686,50.78,192.380224
105,72.49995159999999,-165.6055001,50.93,117.289141
106,72.50003620000001,-165.5776518,50.73,193.58231600000005
107,72.4999829,-165.5498579,50.69,63.831725999999996
108,72.49990190000001,-165.5222257,50.57,49.537359
109,72.49990090000001,-165.4944325,50.41,49.564338
110,72.499808,-165.46670930000002,50.25,60.55619
111,72.49982220000001,-165.4389041,50.13,68.10642400000002
112,72.5000633,-165.411225,50.07,43.741274
113,72.5001077,-165.38356940000003,50.04,60.94682699999999
114,72.49982309999999,-165.3559181,49.97,28.631839000000003
115,72.49971,-165.3280303,49.82,68.96025300000001
116,72.4996917,-165.30036830000003,50.03,46.55136
117,72.4999583,-165.2727367,50.43,45.642675
118,72.50003570000001,-165.24500940000001,50.37,75.57162100000001
119,72.5000998,-165.2173315,50.16,47.526739
120,72.50005820000001,-165.1899739,50.13,47.47381299999999
121,72.499865,-165.1882233,50.0,4.84099
122,72.4999333,-165.1605383,50.1,28.750118000000004
123,72.49997330000001,-165.13296100000002,50.16,23.199629999999996
124,72.5000043,-165.105156,50.17,49.33741999999999
125,72.4999933,-165.0774017,50.38,61.119783
126,72.4999783,-165.04963999999998,50.57,72.472446
127,72.500015,-165.02201000000002,50.53,83.78953800000001
128,72.50000849999999,-164.9942631,50.34,119.28399200000001
129,72.4999067,-164.96658440000002,50.58,102.927205
130,72.49997909999999,-164.938808,50.49,50.643770999999994
131,72.50011429999999,-164.9111295,50.41,73.599454
132,72.500196,-164.8835903,50.25,106.875477
133,72.50029509999999,-164.8558362,50.44,51.80352699999999
134,72.500475,-164.82811,50.53,92.46522799999998
135,72.5004333,-164.800405,50.33,34.324681
136,72.5004239,-164.7726414,50.02,31.168474999999997
137,72.5003188,-164.74487130000003,49.9,24.032935
138,72.5002196,-164.7171934,49.81,35.9189
139,72.50019,-164.6895233,49.42,34.477197999999994
140,72.50007,-164.6618257,49.17,40.847733
141,72.4999974,-164.6340961,49.52,22.830464
142,72.49991329999999,-164.60630319999999,49.73,44.69294599999999
143,72.4999243,-164.5786177,49.54,83.43748000000001
144,72.4995279,-164.55203380000003,49.6,22.011021000000003
145,72.5001227,-164.53891130000002,49.78,55.602821
146,72.50006009999998,-164.5111149,50.09,35.116049000000004
147,72.5000766,-164.48344269999998,49.94,46.699994
148,72.5001209,-164.4557121,50.07,54.534075
149,72.5002104,-164.42804840000002,50.14,81.71042600000001
150,72.5003186,-164.4003574,49.93,62.47194699999999
151,72.5004558,-164.37269750000002,49.81,76.335443
152,72.50043670000001,-164.3449918,49.91,47.556825
153,72.500425,-164.3173367,49.97,98.07151600000002
154,72.50034000000001,-164.28967,49.95,91.64835100000002
155,72.5002415,-164.26194009999998,49.84,80.36872699999999
156,72.50016,-164.23424540000002,49.78,52.617971999999995
157,72.5002087,-164.20658269999998,49.71,44.537164000000004
158,72.50017700000001,-164.1789002,49.72,44.27056500000001
159,72.500137,-164.1511415,49.61,172.014222
160,72.5001608,-164.1233779,49.44,133.77490600000002
161,72.50013390000001,-164.0955794,49.28,128.825946
162,72.50016600000001,-164.0678034,49.45,186.843594
163,72.50017829999999,-164.04010669999997,49.38,96.30164399999998
164,72.5002083,-164.0123983,49.35,49.478103
165,72.50025409999999,-163.9846946,49.28,59.02069599999999
166,72.5002379,-163.9569159,49.51,231.233668
167,72.5002937,-163.92920790000002,49.51,165.04985900000003
168,72.50037840000002,-163.9014204,49.46,259.87981
169,72.500445,-163.8738267,49.48,164.45811700000002
170,72.50058829999999,-163.8460117,49.46,121.61349600000001
171,72.50076390000001,-163.8183066,49.38,165.80110000000002
172,72.5010083,-163.790517,49.12,71.90701
173,72.50125820000001,-163.762766,48.71,48.842098
174,72.501545,-163.73502219999997,48.51,124.181876
175,72.5018817,-163.7073117,48.52,183.104069
176,72.5020593,-163.6795305,48.54,141.244707
177,72.50223170000001,-163.651815,48.48,112.593877
178,72.50229399999999,-163.6240582,48.33,57.376070000000006
179,72.5023603,-163.5963602,48.39,96.07787800000001
180,72.5020533,-163.5686733,48.21,77.11961600000001
181,72.50147750000001,-163.5408164,48.06,150.680203
182,72.5007945,-163.5130804,47.89,178.564197
183,72.5002252,-163.4958154,47.56,12.618812
184,72.4997409,-163.47541130000002,47.35,145.06173299999998
185,72.49993509999999,-163.44961980000002,47.0,191.071396
186,72.5001359,-163.42213569999998,46.95,207.89628900000002
187,72.5002353,-163.39394109999998,46.63,197.05230099999997
188,72.50053829999999,-163.3660481,46.38,193.31620099999998
189,72.5008858,-163.33824909999998,46.32,151.57803299999998
190,72.5010817,-163.3106752,46.2,185.72464099999996
191,72.5010633,-163.28296719999997,45.89,206.129826
192,72.50105,-163.2551773,45.18,195.95479899999998
193,72.50080009999999,-163.2275081,44.93,160.893531
194,72.50050470000001,-163.1999142,44.73,186.52801200000002
195,72.50026170000001,-163.17234,44.4,188.40469699999997
196,72.5000449,-163.14471310000002,44.22,161.518283
197,72.4996666,-163.1172116,44.0,117.411031
198,72.4994037,-163.08949040000002,43.82,107.18475299999999
199,72.4992209,-163.0619304,43.61,59.223265
200,72.4992333,-163.0342638,43.23,166.52182100000002
201,72.4992267,-163.00666999999999,43.03,80.249137
202,72.4993767,-162.97905169999999,42.97,62.880694000000005
203,72.4995212,-162.9513123,42.82,82.15367700000002
204,72.49968249999999,-162.92357619999999,42.78,92.912963
205,72.49973829999999,-162.89586210000002,42.79,189.75165499999997
206,72.4998717,-162.8681667,42.66,307.88071399999995
207,72.4999986,-162.8404164,42.44,717.0140580000001
208,72.5000146,-162.8127695,42.42,383.77945299999993
209,72.49999079999999,-162.78517769999996,42.43,178.627594
210,72.49987,-162.75765149999998,42.36,254.437084
211,72.499645,-162.73002,42.25,308.05930300000006
212,72.4993417,-162.7023824,42.18,276.639008
213,72.49923829999999,-162.6745325,42.02,255.04309799999996
214,72.4992952,-162.6466904,41.91,329.58321200000006
215,72.4997411,-162.61895769999998,41.82,359.627516
216,72.5001329,-162.5911399,41.65,274.06410999999997
217,72.5002643,-162.5632571,41.46,240.96932500000003
218,72.50022220000001,-162.5352416,41.3,257.73674
219,72.5002533,-162.5074617,41.12,233.35173799999998
220,72.500265,-162.480025,40.99,179.769568
221,72.50005990000001,-162.4523394,40.85,189.79734599999998
222,72.49981600000001,-162.4245785,40.61,273.84934400000003
223,72.49959720000001,-162.3968617,39.48,400.39684100000005
224,72.4992583,-162.36916330000003,37.61,400.25654899999995
225,72.4989033,-162.34163830000003,38.18,525.116673
226,72.4988099,-162.313889,38.81,350.55189000000007
227,72.4988513,-162.2862757,39.31,360.146326
228,72.49915329999999,-162.2585461,40.4,313.21278500000005
229,72.4992253,-162.230805,40.93,466.76712
230,72.499215,-162.20305249999998,41.29,334.49933000000004
231,72.4991182,-162.1752929,41.58,263.16275200000007
232,72.49898359999999,-162.147506,41.63,167.040144
233,72.4989367,-162.11978169999998,41.39,268.30002299999995
234,72.4988517,-162.0921717,41.41,206.018964
235,72.49909170000001,-162.06455830000002,41.66,172.26303000000001
236,72.4990693,-162.0367858,42.01,118.36393400000001
237,72.49896170000001,-162.00907819999998,42.02,168.037195
238,72.4991629,-161.981292,42.59,82.998781
239,72.4994362,-161.95362450000002,42.66,130.208494
240,72.4997183,-161.9258956,43.26,115.385603
241,72.5000568,-161.8985101,43.38,64.25862099999999
242,72.4995537,-161.89521619999996,43.27,33.283092
243,72.4998081,-161.86719399999998,43.63,137.482833
244,72.4997067,-161.83953219999998,43.75,89.358884
245,72.4998167,-161.811915,43.82,52.50158300000001
246,72.49997330000001,-161.78429430000003,43.95,104.73173
247,72.50012650000001,-161.75658380000002,44.07,249.692713
248,72.500224,-161.7289232,44.3,102.67125599999999
249,72.50030500000001,-161.70130790000002,44.3,53.828438
250,72.50028,-161.67372340000003,44.61,35.437961
251,72.50022,-161.6459853,44.58,61.730385
252,72.500097,-161.61835449999998,44.4,140.489247
253,72.4999583,-161.5906317,44.58,47.24981900000001
254,72.499829,-161.5629475,44.67,65.48041
255,72.49967790000001,-161.53523280000002,45.04,103.78212400000001
256,72.4996667,-161.5075994,44.82,226.49704699999995
257,72.499685,-161.479894,45.0,159.844583
258,72.4996733,-161.4521904,45.07,214.30406600000003
259,72.49966500000001,-161.4245984,45.13,118.42157899999998
260,72.4996783,-161.39684530000002,45.23,197.66704399999998
261,72.49966440000001,-161.3692698,45.35,98.53994900000001
262,72.49967170000001,-161.341465,45.24,129.168441
263,72.4996741,-161.3137515,45.42,317.243822
264,72.4996007,-161.28625280000003,45.33,187.750228
265,72.4996151,-161.2584696,45.26,140.61859999999996
266,72.49954179999999,-161.23071399999998,45.2,189.847282
267,72.4994667,-161.20286330000002,45.12,74.90872200000001
268,72.4993856,-161.1751245,45.2,43.786576999999994
269,72.499335,-161.1473487,45.29,92.77025400000001
270,72.49924890000001,-161.1195615,45.29,112.241478
271,72.4992017,-161.09173769999998,45.44,54.032627
272,72.4991833,-161.06389130000002,45.48,147.910112
273,72.49921040000001,-161.0361263,45.43,70.205073
274,72.49920379999999,-161.0084372,45.8,126.53394100000001
275,72.49922,-160.98062119999997,45.89,129.563151
276,72.4992333,-160.9527766,45.85,145.21644199999997
277,72.4992794,-160.92514939999998,45.83,125.77575000000002
278,72.49932,-160.89747169999998,45.73,131.35972
279,72.4993756,-160.8695251,45.96,141.896217
280,72.49945670000001,-160.84178500000002,46.19,109.58026800000002
281,72.4995033,-160.8141514,46.13,84.77784299999999
282,72.499492,-160.7864609,46.28,94.275261
283,72.4995083,-160.7587667,46.21,69.41727799999998
284,72.499545,-160.7309227,46.27,78.389138
285,72.49963000000001,-160.70314150000002,46.35,107.24774000000001
286,72.4997017,-160.67548019999998,46.39,77.63904199999999
287,72.49976170000001,-160.6477513,46.43,181.43711800000003
288,72.4998017,-160.62013169999997,46.36,126.79924600000001
289,72.4998883,-160.5924877,46.47,127.286789
290,72.4999541,-160.56486619999998,46.5,228.79134299999998
291,72.5000118,-160.53711289999998,46.67,217.676888
292,72.50008170000001,-160.5093691,46.76,290.52338
293,72.50006450000001,-160.4817132,46.83,200.026287
294,72.500135,-160.4538931,47.07,234.241945
295,72.50022990000001,-160.4263306,47.13,184.32663000000002
296,72.5003234,-160.39875780000003,47.21,168.320121
297,72.5004058,-160.3711506,47.33,166.01431600000004
298,72.5004027,-160.3434681,47.42,86.339335
299,72.50039740000001,-160.3158768,47.37,58.878787
300,72.5004067,-160.28816809999998,47.49,81.52064299999999
301,72.5004433,-160.26049530000003,47.44,118.27878500000001
302,72.50045759999999,-160.2327573,47.75,155.01872699999998
303,72.500182,-160.2054611,47.61,107.75220999999999
304,72.4977201,-160.2065332,47.68,7.639432
305,72.50361579999999,-160.1922504,47.71,49.56722299999999
306,72.51062979999999,-160.1769065,47.87,143.96170999999998
307,72.51797590000001,-160.163837,48.12,147.93691000000004
308,72.52512829999999,-160.14951330000002,48.24,153.29099199999996
309,72.5322478,-160.1345895,48.54,123.888089
310,72.53924559999999,-160.11932219999997,49.04,129.80498
311,72.5462036,-160.1038581,49.38,181.26406899999998
312,72.553166,-160.0879927,49.71,145.26964
313,72.5600343,-160.0721357,50.23,134.116722
314,72.5668906,-160.0563119,50.64,149.445616
315,72.573766,-160.0406277,51.02,187.749393
316,72.5808714,-160.0257125,51.71,192.326248
317,72.5880387,-160.01138600000002,52.26,148.10607100000001
318,72.5951615,-159.9970084,53.07,142.97802599999997
319,72.6022375,-159.9821666,53.7,113.19148400000002
320,72.60935129999999,-159.9675788,54.7,124.94011899999998
321,72.6164515,-159.9528554,55.39,134.743375
322,72.62362370000001,-159.93917530000002,56.34,144.633161
323,72.63092940000001,-159.92571030000002,57.28,117.94512
324,72.638225,-159.91198669999997,58.16,116.48521399999998
325,72.6454777,-159.8982074,58.91,71.914668
326,72.6525958,-159.883543,59.78,82.54702400000001
327,72.65968000000001,-159.8688717,60.6,66.26782800000001
328,72.6668267,-159.85443669999998,61.53,74.12928499999998
329,72.67405190000001,-159.8399694,61.22,96.59643399999997
330,72.68124240000002,-159.82576519999998,61.77,70.072065
331,72.6883407,-159.8111518,63.03,95.960794
332,72.6955313,-159.7965783,64.51,119.217844
333,72.7026699,-159.7819685,66.23,118.69111000000002
334,72.70971829999999,-159.7672233,68.34,198.298527
335,72.7167735,-159.7516884,70.84,192.590982
336,72.72371340000001,-159.7360083,73.57,226.68426500000007
337,72.73070770000001,-159.72087549999998,75.75,107.12560300000003
338,72.73791259999999,-159.7067166,77.36,122.47484499999999
339,72.74518,-159.6928733,77.99,139.39482799999996
340,72.7523498,-159.6787375,79.06,204.20838500000005
341,72.7595122,-159.6646039,84.4,161.49069
342,72.7667347,-159.6506774,90.04,134.22219499999997
343,72.76942559999999,-159.6428149,92.01,61.234807999999994
344,72.7763446,-159.6266782,95.69,143.27863799999997
345,72.7833734,-159.6115355,101.67,147.63343299999997
346,72.7902583,-159.59576669999998,105.0,97.76776400000001
347,72.7971959,-159.5799824,111.67,99.477992
348,72.8040292,-159.5639428,121.57,126.795026
349,72.8108655,-159.54784119999997,134.49,134.555579
350,72.81765809999999,-159.5313381,143.15,69.37883699999999
351,72.8244788,-159.5150112,148.02,100.15157400000002
352,72.83134240000001,-159.49910390000002,152.11,93.93878000000001
353,72.83822109999998,-159.4832017,157.49,134.369438
354,72.845085,-159.4674815,162.93,105.73120099999998
355,72.85206559999999,-159.4517017,167.39,69.856578
356,72.8589709,-159.4359141,176.08,105.29991600000004
357,72.86598520000001,-159.4203691,183.58,93.545199
358,72.8728632,-159.4045044,189.49,158.310877
359,72.879726,-159.38817859999997,196.16,109.012639
360,72.8866227,-159.3723015,204.08,57.21807
361,72.8934394,-159.35608009999999,212.33,124.785448
362,72.8992983,-159.3384917,218.69,141.149482
363,72.9039494,-159.32452880000002,221.61,173.93397099999999
364,72.9112184,-159.3104447,228.83,387.468444
365,72.91850629999999,-159.29695159999997,237.22,361.2267069999999
366,72.92106340000001,-159.2917582,242.85,351.72885000000014
367,72.92546,-159.28306,245.14,351.72885000000014
368,72.9328667,-159.26796169999997,255.64,209.82234200000008
369,72.940053,-159.25370180000002,265.81,204.29609300000007
370,72.9473054,-159.239771,273.46,116.15359499999995
371,72.9545329,-159.2255509,283.27,144.19829399999998
372,72.9616671,-159.21100249999998,293.21,33.618598000000006
373,72.9594493,-159.2177188,289.5,61.64428100000001
374,72.96654029999999,-159.2025679,300.61,122.57074299999994
375,72.9735906,-159.1875255,314.6,212.517029
376,72.9807322,-159.1727199,326.01,153.94660199999998
377,72.98790490000002,-159.1582355,337.06,244.547096
378,72.9951439,-159.14407780000002,348.91,114.42696200000006
379,73.0023684,-159.13002340000003,364.66,68.01714299999999
380,73.0096262,-159.11608859999998,383.39,44.538684
381,73.01695169999999,-159.10246,399.53,58.5895
382,73.02422320000001,-159.0885264,420.84,493.3581459999999
383,73.03151559999999,-159.0747608,436.13,299.41213400000004
384,73.0388145,-159.0611915,444.07,164.64368100000007
385,73.04621170000001,-159.0474816,468.51,140.51817699999998
386,73.0535282,-159.0338531,537.62,133.92813899999996
387,73.060813,-159.02008769999998,698.61,148.828457
388,73.06791,-159.0052717,862.61,143.930105
389,73.0749473,-158.9894649,990.12,158.68295799999999
390,73.0819824,-158.97424709999999,999.44,145.844571
391,73.0890243,-158.9587545,999.42,96.74443
392,73.0958441,-158.94220090000002,999.4,118.03754700000003
393,73.1018796,-158.93752080000002,999.34,30.792766
394,73.09554059999999,-158.91653440000002,998.73,190.589114
395,73.0901145,-158.8945509,998.69,309.62690299999997
396,73.0846499,-158.8731085,998.65,255.64808099999996
397,73.0789328,-158.8517309,998.6,567.3270810000002
398,73.07328079999999,-158.8305177,998.56,812.4456679999998
399,73.0676353,-158.80954509999998,998.53,1358.1372900000003
400,73.06182559999999,-158.78886369999998,998.49,1007.9947789999999
401,73.05600079999999,-158.7684727,998.45,1127.5171790000004
402,73.0504198,-158.7472494,998.41,888.9678829999998
403,73.04500920000001,-158.7254464,998.37,731.994401
404,73.0395176,-158.7040611,998.33,591.879885
405,73.03401009999999,-158.68281100000002,991.76,978.3744370000001
406,73.0283612,-158.6617772,998.16,967.2901610000001
407,73.022669,-158.64078759999998,998.14,1063.6144799999997
408,73.01703020000001,-158.62005359999998,998.12,825.8495169999998
409,73.01129329999999,-158.59898,998.1,1258.1526350000001
410,73.0055383,-158.57844330000003,998.08,2603.0272950000003
411,72.99959059999999,-158.5577643,998.06,1766.8848570000002
412,72.99379559999998,-158.5373247,998.05,654.612916
413,72.987995,-158.5170961,998.02,545.4374939999998
414,72.9822132,-158.4968679,998.01,296.27039900000017
415,72.9767162,-158.47542119999997,997.99,493.76495300000005
416,72.9712374,-158.454133,997.97,742.465697
417,72.9660691,-158.4318331,997.95,461.6588230000001
418,72.9609777,-158.4093124,997.93,586.261079
419,72.9657167,-158.4020233,997.91,5.557473
420,72.9603467,-158.4067533,997.89,109.15341000000001
421,72.9546515,-158.3846534,997.87,766.176202
422,72.94908259999998,-158.3636856,997.85,848.459089
423,72.94353079999999,-158.3423861,997.83,882.3661429999997
424,72.93804920000001,-158.3209994,997.81,1335.7600580000003
425,72.93270720000001,-158.2994972,997.8,328.2001029999999
426,72.9272749,-158.27796750000002,997.78,383.27728499999995
427,72.92181459999999,-158.2567291,997.76,399.61151900000004
428,72.91631159999999,-158.2353971,997.74,334.99336800000003
429,72.91080600000001,-158.2141574,997.72,376.1625270000001
430,72.90525550000001,-158.19302130000003,997.7,719.6327010000002
431,72.89936,-158.17251169999997,997.68,556.3211580000001
432,72.8935063,-158.15247030000003,997.66,371.755477
433,72.8876598,-158.13245609999998,997.64,565.2545600000001
434,72.8817653,-158.1124427,997.62,365.3105009999998
435,72.87617270000001,-158.0915431,997.6,165.977837
436,72.8706689,-158.0705716,997.58,161.123643
437,72.8651873,-158.0489785,997.56,285.523823
438,72.8598839,-158.0268148,997.54,422.755236
439,72.8546098,-158.0051363,997.52,474.84132000000005
440,72.8492525,-157.9832494,997.5,387.80878900000016
441,72.8436985,-157.9622272,997.48,569.3750349999998
442,72.8380114,-157.940699,997.46,399.50446999999997
443,72.832174,-157.9207667,997.44,262.5936720000001
444,72.82633919999999,-157.9007671,997.42,427.75595199999987
445,72.82042879999999,-157.8802997,996.3,294.7814869999999
446,72.8146563,-157.859935,951.32,256.5141549999999
447,72.80899670000001,-157.8392967,864.43,258.26750000000004
448,72.8032568,-157.8185957,809.98,122.71355900000002
449,72.7975688,-157.7980991,906.55,311.18884700000007
450,72.79191829999999,-157.7775415,974.23,346.578162
451,72.7862479,-157.7570503,995.76,367.026324
452,72.78053390000001,-157.7365437,995.68,795.4843570000005
453,72.77480849999999,-157.7159809,995.6,811.01096
454,72.76944830000001,-157.6943344,995.52,461.1875769999999
455,72.7640485,-157.6729803,995.44,466.69779100000005
456,72.75855,-157.65173059999998,986.49,218.28755
457,72.7530083,-157.6305083,868.03,181.74964400000005
458,72.7475055,-157.6093857,763.66,232.20336600000002
459,72.7419183,-157.58881169999998,654.22,163.64242199999995
460,72.73617,-157.5680667,512.2,174.58361400000004
461,72.7304817,-157.54748830000003,414.4,223.87455900000003
462,72.7247583,-157.5264333,409.06,123.59738899999996
463,72.7190433,-157.5062083,411.54,141.28264600000003
464,72.7133662,-157.4856149,419.59,266.39827800000006
465,72.70773670000001,-157.46435,431.35,703.3262780000001
466,72.7022752,-157.44337480000002,444.22,759.553993
467,72.69690159999999,-157.4222858,483.8,432.329557
468,72.69147149999999,-157.4009868,554.09,321.128052
469,72.68593670000001,-157.37977619999998,664.57,302.0797390000001
470,72.68036,-157.3587123,815.1,230.80431299999995
471,72.674821,-157.3379434,950.46,268.0821970000001
472,72.66917109999999,-157.3170844,986.38,522.9855739999999
473,72.6636787,-157.29652180000002,929.68,299.93469400000015
474,72.6581417,-157.2764496,939.4,562.853814
475,72.6523005,-157.25611809999998,819.52,399.02809399999995
476,72.6464622,-157.2360288,693.19,311.287052
477,72.6406817,-157.2153361,580.63,200.94315199999994
478,72.6351422,-157.1946179,431.93,305.77019600000006
479,72.6295411,-157.1741406,411.96,135.04795099999998
480,72.6240203,-157.15285559999998,412.8,139.27430500000006
481,72.6184036,-157.131875,422.1,209.676278
482,72.6129149,-157.11060590000002,435.4,335.3145390000001
483,72.60729599999999,-157.0903387,448.72,794.3520230000001
484,72.6014337,-157.0699136,480.23,497.479149
485,72.5955859,-157.05003200000002,574.75,808.8853580000001
486,72.5896176,-157.030038,659.11,594.265383
487,72.5837714,-157.0100377,827.14,876.47847
488,72.57801640000001,-156.98984209999998,871.55,335.7402189999999
489,72.5721867,-156.9695367,789.82,199.916403
490,72.56645329999999,-156.9489833,755.3,193.061731
491,72.560975,-156.92781330000003,783.11,226.896899
492,72.55549,-156.90683169999997,901.66,240.43839799999998
493,72.5501245,-156.8851443,992.99,241.515995
494,72.544896,-156.86453410000001,991.98,8.379465999999999
495,72.5471,-156.8889985,997.54,235.64337899999998
496,72.5392505,-156.9001507,997.36,424.752256
497,72.5317408,-156.91159150000001,997.19,536.760814
498,72.5240493,-156.9229319,996.34,338.9240199999999
499,72.5165282,-156.933817,955.36,532.923339
500,72.5089118,-156.9446936,959.42,609.9775159999999
501,72.5013161,-156.9559201,989.11,1081.1495859999998
502,72.4937378,-156.9669509,965.92,815.3432160000001
503,72.4859983,-156.9784983,856.56,963.015923
504,72.4784233,-156.98979,739.86,1035.460721
505,72.470855,-157.0012167,624.81,923.578389
506,72.46325,-157.0127467,508.22,1135.0672730000003
507,72.4557183,-157.02433169999998,420.41,863.6068539999999
508,72.44822490000001,-157.0358794,391.79,778.5490929999997
509,72.4406683,-157.0474217,381.26,1269.4342559999993
510,72.4331207,-157.0584398,350.74,1337.8437930000002
511,72.4254941,-157.0694023,326.47,952.4919209999999
512,72.4178537,-157.080811,310.88,1072.838499
513,72.41028759999999,-157.0917226,294.89,1359.6927180000007
514,72.40259520000001,-157.1018115,282.92,1093.9419510000005
515,72.39477579999999,-157.11194709999998,270.17,709.4458
