,Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2)
1,71.47016729,-166.53653662,27.691153857142858,24.894614999999998
3,71.47144505,-166.53352921,27.64813,46.093219
5,71.47281657,-166.53055936,27.719117857142855,32.412529
7,71.47423152,-166.52786161,27.666923142857144,86.62150199999999
9,71.47567737,-166.52489267,27.737130714285712,61.563909
11,71.47700014,-166.52207078,27.745745571428568,118.93723300000002
13,71.4784823,-166.51892735,27.694229857142854,47.690335
15,71.47982563,-166.51619903,27.650956,54.881972
17,71.4812471,-166.51333998,27.630612714285714,44.644876000000004
19,71.48255474,-166.51005575,27.624832285714287,58.774708
21,71.48392751,-166.50702847,27.714550142857142,48.579347999999996
23,71.48521393,-166.50417077,27.639719714285715,40.919388
25,71.48656156,-166.50099363,27.576507999999997,34.819196000000005
27,71.48791997,-166.49818439,27.622075857142857,32.81028099999999
30,71.48928699,-166.49517167,27.70206885714286,34.718452
33,71.49053606,-166.49183958,27.67873957142857,42.922700999999996
36,71.49181896,-166.48827517,27.662101714285715,31.562295000000002
38,70.88643753,-168.49209092,24.896767375,48.589301
40,71.49314054,-166.48513323,27.683261999999996,25.604419
42,70.88486877,-168.4920832,24.8915455,40.733051
44,71.49444091,-166.48183971,27.64909742857143,33.240644
47,71.49578457,-166.47854563,27.720746428571427,45.262642
49,70.8809154,-168.49215177,24.8669255,43.591636
52,71.49699966,-166.47527547,27.63493385714285,41.7014
54,70.8799214,-168.49212998,24.841550625,37.61159
57,71.49825949,-166.47215004,27.725966,29.929367
59,70.87857925,-168.49207204,24.793697875,27.560796
61,71.49976741,-166.46868808,27.69789785714286,31.097765
66,71.50104387,-166.46582207,27.626464857142857,37.966204999999995
70,70.87461691,-168.4919936,24.865443624999997,41.054331000000005
71,71.90763734,-168.41956683,27.572998,7.378662
75,71.50230749,-166.46278387,27.67474328571429,31.010306
79,70.8733921,-168.49201476,24.877678749999998,50.790998
80,71.9069804,-168.42000949,27.568441555555555,14.802765000000003
83,71.50367436,-166.45971803,27.634994714285714,38.009748
87,71.90521881,-168.42072835,27.569950888888886,18.081501
91,71.50495174,-166.45633362,27.654269142857142,47.81626599999999
95,70.86946578,-168.49191507,24.790022875000002,29.866746999999997
96,71.90356796,-168.42149538,27.568775222222218,15.033898000000002
101,71.50622131,-166.45302985,27.605076714285712,55.867312
105,70.86819349,-168.49183064,22.572177714285715,26.822952
106,71.90200316,-168.4220447,27.567560666666665,13.389156
109,71.50749715,-166.45003502,27.61691257142857,51.125598000000004
113,70.86588746,-168.49151364,24.795509374999998,30.610727999999998
114,71.90012377,-168.42281689,27.567569666666664,17.841776000000003
118,71.50887988,-166.44681141,27.60821228571428,39.358118
122,70.86499486,-168.4913438,24.787939625,56.242875
123,71.89868124,-168.42334963,27.56851011111111,17.857291000000004
128,71.51015941,-166.4439312,27.713700999999997,24.432912
132,70.86408285,-168.49128804,24.786236375,34.884617999999996
133,71.89681015,-168.42411119,27.568195666666664,20.786230999999997
137,71.5115578,-166.4407451,27.706724714285713,50.764554999999994
142,70.86160074,-168.4910848,22.537034,61.514179
143,71.89546774,-168.42464907,27.569672666666666,22.359754000000002
147,71.51288464,-166.43745062,27.76952828571428,53.495599
152,70.86052741,-168.4910849,22.505980714285716,65.193038
153,71.89361047,-168.42533464,27.563851666666665,36.449771000000005
158,71.51425022,-166.43413925,27.77318285714286,20.259619
163,70.858043,-168.49042343,22.532000714285715,90.841864
164,71.89187814,-168.42595571,27.569638777777776,16.410064000000002
168,71.51560025,-166.43133854,27.563571142857143,34.102402000000005
173,70.8566565,-168.48894193,24.7791235,77.350203
174,71.89022373,-168.42659878,27.569474666666665,17.11443
178,71.51697718,-166.42854764,27.635744857142857,28.601098999999998
183,70.85485546,-168.48708645,24.812713875,44.376305
184,71.88874012,-168.42715388,27.569047777777776,18.292583
189,71.51830743,-166.42555922,27.65790471428571,28.350369999999998
194,70.85427293,-168.48667833,24.840988499999998,47.402502000000005
195,71.88713799,-168.42775893,27.566214555555554,8.192511
200,71.51970066,-166.42279497,27.651758428571423,55.460581000000005
205,70.85251229,-168.48579557,24.845467624999998,40.055477
206,71.88529971,-168.42848832,27.566684666666664,13.089860000000002
210,71.52125418,-166.42009762,27.626194,27.049785
215,70.85051275,-168.48531218,24.830083625,39.658147
216,71.88371545,-168.42909473,27.56523055555555,9.172604
221,71.52267198,-166.41777261,27.584765142857144,41.221235
226,70.84917385,-168.48378683,24.832759499999998,30.452590999999998
