Latitude,Longitude,0.5-1.5 cm,1.5-2.5 cm,2.5-3.5 cm,3.5-4.5 cm,4.5-5.5 cm,5.5-6.5 cm,6.5-7.5 cm,7.5-8.5 cm,8.5-9.5 cm,9.5-10.5 cm,10.5-11.5 cm,11.5-12.5 cm,12.5-13.5 cm,13.5-14.5 cm,14.5-15.5 cm,15.5-16.5 cm,16.5-17.5 cm,17.5-18.5 cm,18.5-19.5 cm,19.5-20.5 cm,20.5-21.5 cm,21.5-22.5 cm,22.5-23.5 cm,23.5-24.5 cm,24.5-25.5 cm,25.5-26.5 cm,26.5-27.5 cm,27.5-28.5 cm,28.5-29.5 cm,29.5-30.5 cm
66.043,-168.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.035,-168.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.027,-168.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.019,-168.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.012,-168.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.005,-168.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.001,-168.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1766e-05,3.9798e-05,0.00019437,0.00044205,0.00057353,0.00034325,0.00011428,9.5183e-05,0.00028547,0.00028544,0.0001332,5.7083e-05,1.9027e-05,1.9027e-05,0
66,-168.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7984e-05,5.5252e-05,0.00026984,0.00061371,0.00079624,0.00047655,0.00015866,0.00013214,0.00039633,0.00039628,0.00018492,7.9249e-05,2.6416e-05,2.6416e-05,0
66,-168.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7505e-05,2.6209e-05,0.000128,0.00029112,0.0003777,0.00022605,7.5262e-05,6.2683e-05,0.000188,0.00018798,8.7718e-05,3.7592e-05,1.2531e-05,1.2531e-05,0
66,-168.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013184,0.00012563,0.00061356,0.0013954,0.0018104,0.0010835,0.00036075,0.00030046,0.00090115,0.00090104,0.00042046,0.00018019,6.0063e-05,6.0063e-05,0
66,-168.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001148,0.00010939,0.00053424,0.001215,0.0015764,0.00094346,0.00031412,0.00026162,0.00078465,0.00078455,0.0003661,0.0001569,5.2298e-05,5.2298e-05,0
66,-168.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-168.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-167.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-167.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095721,0.00091211,0.0044546,0.010131,0.013144,0.0078668,0.0026192,0.0021814,0.0065426,0.0065418,0.0030527,0.0013083,0.00043608,0.00043608,0
66,-167.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0182e-05,1.9231e-05,9.3921e-05,0.0002136,0.00027713,0.00016586,5.5223e-05,4.5993e-05,0.00013794,0.00013793,6.4362e-05,2.7583e-05,9.1942e-06,9.1942e-06,0
66,-167.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2771e-05,2.1698e-05,0.00010597,0.000241,0.00031269,0.00018714,6.2307e-05,5.1893e-05,0.00015564,0.00015562,7.2619e-05,3.1121e-05,1.0374e-05,1.0374e-05,0
66,-167.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0246e-05,1.9292e-05,9.4221e-05,0.00021429,0.00027802,0.00016639,5.5399e-05,4.614e-05,0.00013839,0.00013837,6.4568e-05,2.7671e-05,9.2237e-06,9.2236e-06,0
66,-167.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3774e-05,5.124e-05,0.00025025,0.00056914,0.00073842,0.00044194,0.00014714,0.00012255,0.00036755,0.0003675,0.00017149,7.3495e-05,2.4498e-05,2.4498e-05,0
66,-167.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9572e-05,3.7708e-05,0.00018416,0.00041883,0.00054341,0.00032523,0.00010828,9.0184e-05,0.00027048,0.00027045,0.0001262,5.4085e-05,1.8028e-05,1.8028e-05,0
66,-167.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1468e-05,4.9043e-05,0.00023952,0.00054474,0.00070676,0.00042299,0.00014083,0.00011729,0.00035179,0.00035175,0.00016414,7.0344e-05,2.3448e-05,2.3447e-05,0
66,-167.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3756e-06,7.0281e-06,3.4324e-05,7.8063e-05,0.00010128,6.0616e-05,2.0182e-05,1.6809e-05,5.0413e-05,5.0407e-05,2.3522e-05,1.008e-05,3.3601e-06,3.3601e-06,0
66,-167.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5302e-06,5.2697e-06,2.5736e-05,5.8532e-05,7.5941e-05,4.545e-05,1.5132e-05,1.2603e-05,3.78e-05,3.7795e-05,1.7637e-05,7.5584e-06,2.5194e-06,2.5194e-06,0
66,-167.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.758e-06,1.6751e-06,8.1811e-06,1.8606e-05,2.414e-05,1.4448e-05,4.8103e-06,4.0063e-06,1.2016e-05,1.2014e-05,5.6064e-06,2.4027e-06,8.0088e-07,8.0087e-07,0
66,-167.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5329e-06,1.4607e-06,7.1337e-06,1.6224e-05,2.105e-05,1.2598e-05,4.1944e-06,3.4934e-06,1.0477e-05,1.0476e-05,4.8886e-06,2.0951e-06,6.9834e-07,6.9834e-07,0
66,-167.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7648e-06,2.6346e-06,1.2867e-05,2.9263e-05,3.7966e-05,2.2723e-05,7.5653e-06,6.3009e-06,1.8898e-05,1.8896e-05,8.8174e-06,3.7788e-06,1.2596e-06,1.2596e-06,0
66,-167.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4934e-06,3.3288e-06,1.6257e-05,3.6974e-05,4.7971e-05,2.871e-05,9.5588e-06,7.9613e-06,2.3878e-05,2.3875e-05,1.1141e-05,4.7745e-06,1.5915e-06,1.5915e-06,0
