Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2),Pollock (No. m^-2)
65.404,-168.01,39.909,0.38274,0.12361,0,5.9361e-06,0.00037441,0,0
65.41,-168.02,41.339,2.0772,0.22856,0,3.2216e-05,0.002032,0,0
65.415,-168.02,42.086,2.5289,0.066174,0,3.9221e-05,0.0024738,0,0
65.419,-168.03,42.592,3.0588,0.0373,0,4.7439e-05,0.0029922,0,0
65.343,-168.15,47.841,9.9775,0.69895,0,0.00015474,0.0097603,0,0
65.348,-168.16,49.877,10.682,1.0467,0,0.00016568,0.01045,0,0
65.356,-168.17,51.504,15.512,0.85265,0,0.00024058,0.015174,0,0
65.364,-168.17,50.821,11.34,1.0459,0,0.00017587,0.011093,0,0
65.372,-168.18,51.386,12.325,1.1696,0,0.00019116,0.012057,0,0
65.38,-168.18,52.7,13.481,1.2987,0,0.00020908,0.013187,0,0
65.388,-168.19,52.293,13.92,1.4682,0,0.00021589,0.013617,0,0
65.396,-168.19,45.415,9.792,0.48503,0,0.00015187,0.0095788,0,0
65.404,-168.2,48.045,10.851,0.64971,0,0.00016829,0.010614,0,0
65.411,-168.21,54.227,13.601,0.34064,0,0.00021095,0.013305,0,0
65.418,-168.22,56.02,18.468,0.72989,0,0.00028643,0.018066,0,0
65.425,-168.23,57.744,18.234,2.3518,0,0.00028281,0.017838,0,0
65.431,-168.25,58.278,10.292,1.8863,0,0.00015962,0.010068,0,0
65.438,-168.26,55.754,13.028,4.734,0,0.00020206,0.012744,0,0
65.444,-168.27,53.874,10.768,5.3931,0,0.000167,0.010533,0,0
65.45,-168.28,54.4,172.91,3.751,0,0.0022632,0.0097544,0.033634,0
65.456,-168.3,56.098,14.405,1.519,0,0.00022342,0.014092,0,0
65.464,-168.3,57.337,23.112,1.9529,0,0.00035845,0.022608,0,0
65.472,-168.31,58.113,8.0758,0.5657,0,0.00012525,0.0079,0,0
65.481,-168.31,57.847,8.9357,0.64023,0,0.00013859,0.0087412,0,0
65.489,-168.31,55.799,52.042,0.28046,0,0.00080714,0.050909,0,0
65.497,-168.32,55.34,8.0105,0.08856,0,0.00012424,0.0078361,0,0
65.505,-168.32,55.484,8.8009,0.28298,0,0.0001365,0.0086093,0,0
65.513,-168.32,51.552,5.6268,0.10645,0,8.7268e-05,0.0055043,0,0
65.522,-168.33,47.251,17.841,0.54584,0,0.0002767,0.017452,0,0
65.53,-168.33,46.981,11.248,0.28355,0,0.00017445,0.011003,0,0
65.538,-168.34,47.804,4.8096,0.21518,0,7.4594e-05,0.0047049,0,0
65.546,-168.34,46.873,5.9485,0.36406,0,9.2258e-05,0.005819,0,0
65.554,-168.34,47.099,5.9055,0.39283,0,9.1591e-05,0.005777,0,0
65.562,-168.35,47.493,10.219,0.2537,0,0.00015849,0.0099964,0,0
65.571,-168.35,47.948,4.8866,0.34058,0,7.5789e-05,0.0047802,0,0
65.579,-168.36,48.252,4.954,0.22576,0,7.6834e-05,0.0048462,0,0
65.587,-168.36,48.782,6.3652,0.58695,0,9.8721e-05,0.0062266,0,0
65.595,-168.36,49.193,4.941,0.2874,0,7.6632e-05,0.0048334,0,0
65.603,-168.37,49.158,6.0687,0.72667,0,9.4123e-05,0.0059366,0,0
65.611,-168.37,48.585,5.6413,0.40996,0,8.7493e-05,0.0055185,0,0
65.619,-168.38,49.164,21.154,0.51288,0,0.00032808,0.020693,0,0
65.628,-168.38,49.943,8.786,0.30899,0,0.00013627,0.0085948,0,0
65.636,-168.38,50.514,3.566,0.054879,0,5.5307e-05,0.0034884,0,0
65.644,-168.39,50.888,482.92,0.70854,0,0.0061445,0.0052021,0.096695,0
65.652,-168.39,51.058,10.143,1.0166,0,0,0,0,0
65.661,-168.39,51.207,7.6594,6.9099,0,0,0,0,0
65.669,-168.4,51.436,14.529,1.2646,0,0,0,0,0
65.677,-168.4,51.82,13.574,0.011739,0,0,0,0,0
65.685,-168.4,52.083,8.9944,0.42891,0,0,0,0,0
65.694,-168.4,51.285,12.886,0.05108,0,0,0,0,0
65.702,-168.4,51.024,18.242,2.6548,0,0,0,0,0
65.71,-168.41,52.093,9.4737,2.1826,0,0,0,0,0
65.719,-168.41,53.82,13.356,0.36146,0,0,0,0,0
65.727,-168.41,53.933,14.352,0.96905,0,0,0,0,0
65.735,-168.41,54.794,22.45,4.0882,0,0,0,0,0
65.743,-168.41,54.475,19.181,1.2574,0,0,0,0,0
65.752,-168.41,54.202,33.461,0.067474,0,0,0,0,0
65.76,-168.42,54.36,16.791,0.14871,0,0,0,0,0
65.768,-168.42,53.958,350.14,0.52431,0,0.0044069,0,0.070294,0
65.777,-168.42,53.58,18.849,0.19502,0,0,0,0,0
65.785,-168.42,53.529,12.56,0.71706,0,0,0,0,0
65.793,-168.43,52.986,11.359,0.057331,0,0,0,0,0
65.801,-168.43,52.324,9.419,0.05655,0,0,0,0,0
65.81,-168.43,52.087,11.931,0.033498,0,0,0,0,0
65.818,-168.43,52.436,7.2943,0.9611,0,0,0,0,0
65.826,-168.44,52.701,9.1725,1.8071,0,0,0,0,0
65.834,-168.44,52.993,7.9108,0.090831,0,0,0,0,0
65.843,-168.44,53.384,12.834,0.24674,0,0,0,0,0
65.851,-168.44,53.594,5.3812,0.2607,0,0,0,0,0
65.859,-168.45,54.163,11.34,0.040231,0,0,0,0,0
65.867,-168.45,55.073,17.838,0.028109,0,0,0,0,0
65.876,-168.45,57.221,21.804,0.03971,0,0,0,0,0
65.884,-168.45,57.793,271.66,0.033909,0,0.0031536,0,0.050302,0
65.892,-168.46,57.909,37.337,0.039352,0,0,0,0,0
65.901,-168.46,58.64,30.046,0.011279,0,0,0,0,0
65.909,-168.46,58.618,42.397,0.12162,0,0,0,0,0
65.917,-168.47,59.319,20.993,0.60035,0,0,0,0,0
65.925,-168.47,60.315,33.481,0.20266,0,0,0,0,0
65.933,-168.47,59.898,36.955,0.68364,0,0,0,0,0
65.942,-168.48,58.741,18.625,0.23358,0,0,0,0,0
65.95,-168.48,55.56,53.165,4.8354,0,0,0,0,0
65.958,-168.48,54.93,48.949,0.27031,0,0,0,0,0
65.966,-168.49,54.202,31.485,0.0513,0,0,0,0,0
65.974,-168.49,54.625,56.657,0.84575,0,0,0,0,0
65.983,-168.49,54.877,20.15,0.12188,0,0,0,0,0
65.991,-168.49,53.479,12.044,0.69656,0,0,0,0,0
65.995,-168.5,52.875,7.7791,1.9362,0,0,0,0,0
66.056,-168.44,53.969,25.186,1.2509,0,0,0,0,0
66.048,-168.44,54.248,17.418,0.023047,0,0,0,0,0
66.04,-168.44,55.115,13.643,0.35011,0,0,0,0,0
66.031,-168.43,55.671,23.981,0.069482,0,0,0,0,0
66.023,-168.43,55.715,17.127,0.055815,0,0,0,0,0
66.015,-168.43,57.778,37.989,0.081166,0,0,0,0,0
66.007,-168.42,56.689,18.851,0.28334,0,0,0,0,0
66.002,-168.41,55.55,34.431,0.40686,0,0,0,0,0
66.001,-168.39,55.203,54.13,0.14362,0,0,0,0,0
66.001,-168.37,53.933,8.0299,0.10585,0,0,0,0,0
66.001,-168.35,53.159,9.1443,0.04789,0,0,0,0,0
66.001,-168.33,52.964,45.744,0.002466,0,0,0,0,0
66.001,-168.31,52.594,29.185,0.27968,0,0,0,0,0
66.001,-168.29,52.065,4.4223,0,0,0,0,0,0
66.001,-168.27,51.966,233.98,0.000822,0,0.0030012,0,0.047872,0
66.001,-168.25,51.366,8.0234,0.018997,0,0,0,0,0
66.001,-168.22,50.179,1554.9,0.27912,0,0.019134,0,0.3052,0
66.002,-168.22,49.399,1324,0.59337,0,0.016583,0,0.26451,0
66.001,-168.12,44.311,5.857,0.69034,0.00023903,0,3.6428e-05,0.00093068,4.2678e-05
66.001,-168.1,40.617,7.6182,3.5042,0.0003068,0,4.6756e-05,0.0011946,5.4779e-05
66.001,-168.08,39.933,8.4153,0.026461,0.00034168,0,5.2071e-05,0.0013303,6.1005e-05
66.001,-168.05,37.784,11.85,0.42465,0.00048578,0,7.4033e-05,0.0018914,8.6735e-05
66.001,-168.03,36.047,18.937,0.95516,0.0007617,0,0.00011608,0.0029658,0.000136
66,-168.01,34.646,8.739,0.004432,0.00035108,0,5.3504e-05,0.001367,6.2684e-05
66,-167.99,32.646,23.18,2.067,0.00092274,0,0.00014062,0.0035928,0.00016475
66,-167.97,29.696,16.157,3.8885,0.00067397,0,0.00010271,0.0026242,0.00012034
66,-167.95,26.447,19.724,1.2015,0.00080897,0,0.00012329,0.0031498,0.00014444
66,-167.93,23.348,391.53,0.12782,0.016676,0,0.0025414,0.06493,0.0029775
66,-167.91,19.743,19.079,1.5355,0.00076628,0,0.00011678,0.0029836,0.00013682
66,-167.89,16.283,43.445,1.2585,0.0017201,0,0.00026214,0.0066973,0.00030711
66,-167.87,10.999,99.662,0.49574,0.0038835,0,0.00059184,0.015121,0.00069338
66,-167.85,9.7341,0.29543,0.21077,1.1128e-05,0,1.6959e-06,4.3328e-05,1.9869e-06
66,-167.83,9.8248,4.217,0.33511,0.00015884,0,2.4207e-05,0.00061847,2.8361e-05
66,-167.81,10.23,12.569,6.3418,0.00047345,0,7.2152e-05,0.0018434,8.4533e-05
66,-167.79,10.876,22.64,0.5326,0.00085579,0,0.00013042,0.0033321,0.0001528
66,-167.77,11.603,11.403,1.3163,0.00045181,0,6.8855e-05,0.0017592,8.0669e-05
66,-167.75,12.626,4.4524,11.983,0.00017216,0,2.6237e-05,0.00067032,3.0739e-05
66,-167.73,13.811,28.199,1.887,0.0011146,0,0.00016987,0.0043399,0.00019901
66.001,-167.71,14.946,8.9921,0.60367,0.00035555,0,5.4185e-05,0.0013844,6.3482e-05
66.001,-167.69,16.026,142.99,0.73446,0.0058923,0,0.00089798,0.022942,0.0010521
66.001,-167.67,17.049,165.69,4.7613,0.0066753,0,0.0010173,0.025991,0.0011919
66.001,-167.65,17.896,585.83,1.1751,0.024099,0,0.0036727,0.093834,0.0043029
66.001,-167.63,18.641,406.67,3.6301,0.016784,0,0.0025578,0.06535,0.0029967
66,-167.6,18.865,34.319,2.395,0.0014091,0,0.00021474,0.0054864,0.00025159
