Latitude,Longitude,Bottom depth (m),Fish 38 kHz sA (m^2 nmi^-2),Zooplankton 120 kHz sA (m^2 nmi^-2),Arctic cod (No. m^-2),Saffron cod (No. m^-2),Capelin (No. m^-2),herring (No. m^-2)
66.043,-168.57,54.804,4.0635,0.55496,0,0,0.017604,0
66.035,-168.57,54.468,4.0422,0.31265,0,0,0.017512,0
66.027,-168.56,54.639,3.0132,0.022784,0,0,0.013054,0
66.019,-168.56,54.762,1.4204,0.016794,0,0,0.0061537,0
66.012,-168.55,54.59,2.7783,0.043315,0,0,0.012036,0
66.005,-168.54,54.494,1.8675,0.030147,0,0,0.0080905,0
66.001,-168.52,54.31,2.8261,0.12416,0,0,0.012243,0
66,-168.5,53.497,2.6716,0.002053,0,0,0.011574,0
66,-168.48,54.359,13.139,0.012068,1.1234e-06,2.9571e-06,0.012828,0.0026435
66,-168.46,56.432,4.9687,0.010016,0,0,0.021526,0
66,-168.44,57.908,20.09,0.015794,1.5596e-06,4.1054e-06,0.02688,0.00367
66,-168.42,56.706,4.8639,0.053312,0,0,0.021072,0
66,-168.4,56.193,7.4168,0.080887,0,0,0.032131,0
66,-168.38,55.205,43.863,0.21958,0,0,0.19003,0
66,-168.36,54.237,64.138,0.29973,0,0,0.27786,0
66,-168.33,53.985,104.42,0.028687,0,0,0.45237,0
66,-168.31,53.692,131.23,0.001798,0,0,0.56852,0
66,-168.29,53.095,94.449,2.5657,0,0,0.40918,0
66,-168.27,52.921,65.821,1.5329,0,0,0.28515,0
66,-168.25,52.325,32.076,1.0844,0,0,0.13896,0
66,-168.23,51.376,19.589,3.5323,0,0,0.084866,0
66,-168.21,50.09,12.077,2.9457,0,0,0.052319,0
66,-168.19,49.876,23.849,2.4088,7.3979e-07,1.9474e-06,0.073722,0.0017409
66,-168.17,49.505,19.418,1.0613,0,0,0.084122,0
66,-168.15,48.063,49.686,0.90036,3.5461e-06,9.3345e-06,0.069339,0.0083446
66,-168.13,46.159,16.427,0.54316,0,0,0.071166,0
66,-168.11,42.722,46.025,0.46633,3.0876e-06,8.1278e-06,0.072841,0.0072658
66,-168.09,40.959,9.8184,0.052143,0,0,0.042536,0
66,-168.07,39.595,8.2503,0.33983,0,0,0.035742,0
66,-168.05,37.322,7.2654,0.83922,0,0,0.031475,0
66,-168.03,35.925,5.5906,0.16133,0,0,0.02422,0
66,-168.01,34.156,7.6059,0.10356,0,0,0.03295,0
66,-167.99,31.652,5.6047,0.001078,0,0,0.024281,0
66,-167.97,28.444,279.97,0.10008,2.5746e-05,6.7772e-05,0.077475,0.060584
66,-167.95,25.448,7.1699,0.022934,5.4282e-07,1.4289e-06,0.0057185,0.0012774
66,-167.93,22.35,6.6903,0.022205,6.1245e-07,1.6122e-06,8.0605e-07,0.0014412
66,-167.9,18.587,6.0369,0.12322,5.4455e-07,1.4335e-06,7.167e-07,0.0012814
66,-167.9,19.135,16.074,0.1663,1.4463e-06,3.8073e-06,1.9035e-06,0.0034035
66,-167.92,22.736,11.681,0.88602,1.0644e-06,2.8018e-06,1.4008e-06,0.0025046
66,-167.92,21.324,15.589,0.03033,1.3843e-06,3.644e-06,1.8219e-06,0.0032576
66,-167.9,16.385,2.2521,0.03596,1.9838e-07,5.222e-07,2.6109e-07,0.00046682
66,-167.88,11.548,1.7612,0.032069,1.4874e-07,3.9155e-07,1.9576e-07,0.00035002
66,-167.86,10.199,0.57281,0.20367,4.7283e-08,1.2447e-07,6.223e-08,0.00011127
66,-167.84,10.223,0.49948,0.046954,4.1229e-08,1.0853e-07,5.4263e-08,9.7021e-05
66,-167.81,10.589,0.89992,4.2394,7.4364e-08,1.9575e-07,9.7872e-08,0.00017499
66,-167.79,11.24,1.103,0.068425,9.396e-08,2.4734e-07,1.2366e-07,0.00022111
66,-167.77,11.969,2.1236,0.037318,1.7898e-07,4.7115e-07,2.3556e-07,0.00042118
66,-167.75,12.962,2.3561,0.051365,1.9659e-07,5.175e-07,2.5874e-07,0.00046262
66.001,-167.73,14.163,1.6273,0.60695,1.371e-07,3.609e-07,1.8044e-07,0.00032262
66.001,-167.71,15.328,6.778,0.29207,5.6829e-07,1.496e-06,7.4794e-07,0.0013373
66,-167.69,16.403,7.3852,0.035477,6.437e-07,1.6945e-06,8.4719e-07,0.0015148
66,-167.67,17.419,15.241,0.86056,1.3584e-06,3.5757e-06,1.7878e-06,0.0031965
66,-167.65,18.292,7.9816,0.62821,6.9621e-07,1.8327e-06,9.1629e-07,0.0016383
66,-167.63,18.989,5.5201,0.068655,4.9221e-07,1.2957e-06,6.4781e-07,0.0011583
66,-167.61,19.247,28.156,1.7364,2.4892e-06,6.5524e-06,3.276e-06,0.0058575
66,-167.59,19.452,7.5558,0.026361,6.7955e-07,1.7888e-06,8.9437e-07,0.0015991
66,-167.57,19.56,156.96,0.33842,1.3743e-05,3.6176e-05,1.8087e-05,0.03234
66,-167.55,19.532,3.2826,0.18835,2.9322e-07,7.7186e-07,3.8591e-07,0.00069
66,-167.53,19.515,7.421,0.1105,6.5513e-07,1.7245e-06,8.6222e-07,0.0015416
66,-167.51,19.431,11.481,0.030032,1.0329e-06,2.7189e-06,1.3594e-06,0.0024306
66,-167.49,19.269,5.2781,0.21825,4.7227e-07,1.2432e-06,6.2157e-07,0.0011114
66,-167.47,19.032,7.1548,0.009265,6.3521e-07,1.6721e-06,8.3601e-07,0.0014948
66,-167.45,18.747,45.684,0.042443,4.1588e-06,1.0948e-05,5.4735e-06,0.0097865
