SURVEY,EVENT_ID,GEAR,EQ_TIME,EQ_LONGITUDE,EQ_LATITUDE,HB_TIME,HB_LONGITUDE,HB_LATITUDE,BOTTOM_DEPTH_START,AVG_HEAD_ROPE_DEPTH,AVG_NET_VERT_OPENING,AVG_NET_HORI_OPENING,MIN_HEAD_ROPE_DEPTH,MAX_HEAD_ROPE_DEPTH,YEAR,NET_AREA,TRAWL_DIST,VOL_FILTERED
201701,74,Marinovich,13-AUG-17 02.33.58.584000000 AM,-157.8996,71.5089,13-AUG-17 02.55.06.162000000 AM,-157.8701,71.5173,73,11.46,5.16,6.67,8.5,14,2017,34.4172,1403.333906,48298.82373
201701,124,Marinovich,15-AUG-17 10.52.46.992000000 PM,-153.9752,71.5879,15-AUG-17 11.23.09.734000000 PM,-153.9326,71.6091,45,25.72,,,22,32,2017,62.59667997,2801.838724,175385.8019
201701,128,Marinovich,16-AUG-17 05.33.19.609000000 AM,-153.6704,71.7622,16-AUG-17 06.03.43.233000000 AM,-153.6339,71.7788,85,46.78,,,30,65,2017,62.59667997,2248.635897,140757.1416
201701,135,Marinovich,17-AUG-17 06.43.04.185000000 PM,-159.7181,71.0019,17-AUG-17 07.14.14.843000000 PM,-159.757,70.9983,73,33.77,6.25,6.61,25,36,2017,41.3125,1469.98895,60728.91851
201701,149,Marinovich,18-AUG-17 05.05.00.935000000 PM,-161.1644,70.9995,18-AUG-17 05.23.50.657000000 PM,-161.1139,70.9981,48,28.62,7,7,27,33,2017,49,1842.471516,90281.1043
201701,276,Marinovich,29-AUG-17 07.06.11.446000000 PM,-164.3412,72.4943,29-AUG-17 07.36.52.649000000 PM,-164.2724,72.4778,50,30.5,8.7,8.95,30,31,2017,77.865,2955.499965,230130.0048
201701,286,Marinovich,30-AUG-17 02.46.07.028000000 AM,-163.088,72.5028,30-AUG-17 03.01.06.275000000 AM,-163.1052,72.494,43,23.5,8.7,9.15,23,24,2017,79.605,1139.267844,90691.4167
201701,302,Marinovich,30-AUG-17 10.11.43.417000000 PM,-160.2532,72.5133,30-AUG-17 10.37.29.564000000 PM,-160.2967,72.5213,47.1,23.72,8.23,8.19,23,25,2017,67.4037,1710.620672,115302.1626
201701,312,Marinovich,31-AUG-17 04.46.16.431000000 PM,-157.2401,72.5169,31-AUG-17 05.20.00.203000000 PM,-157.2803,72.5425,280,44.54,8.47,8.95,18,67,2017,75.8065,3158.644475,239445.7824
201701,332,Marinovich,01-SEP-17 07.13.22.683000000 PM,-158.3105,72.0038,01-SEP-17 07.42.49.118000000 PM,-158.2581,72.011,60,24.01,8.64,8.48,20,25,2017,73.2672,1977.835383,144910.4606
201701,355,Marinovich,02-SEP-17 07.05.22.529000000 PM,-162.7969,72.0134,02-SEP-17 07.25.19.782000000 PM,-162.8112,72.0242,39,20.84,9.9,7.15,20,22,2017,70.785,1302.040789,92164.95726
201701,366,Marinovich,03-SEP-17 01.10.58.656000000 AM,-164.3182,72.0004,03-SEP-17 01.20.34.530000000 AM,-164.31,72.0049,39,25,10.2,8.2,25,25,2017,83.64,576.3437299,48205.38957
201701,382,Marinovich,03-SEP-17 08.41.44.355000000 PM,-166.8977,72.008,03-SEP-17 08.57.16.611000000 PM,-166.8956,72.0171,47,30.26,8.27,7.99,22,36,2017,66.0773,1018.014613,67267.65701
201701,400,Marinovich,04-SEP-17 04.13.41.616000000 PM,-168.5058,71.4762,04-SEP-17 04.23.08.926000000 PM,-168.5024,71.471,48.4,26.09,8.25,8.01,20,30,2017,66.0825,592.6224072,39161.97022
201701,411,Marinovich,05-SEP-17 12.17.30.420000000 AM,-166.3122,71.5047,05-SEP-17 12.37.54.926000000 AM,-166.3082,71.5162,44.5,25.5,10.6,6.75,24,27,2017,71.55,1290.969403,92368.8608
