Interval,Latitude,Longitude,Arctic cod (No. m^-2),Saffron cod (No. m^-2),Pollock (No. m^-2),Pacific herring (No. m^-2),Capelin (No. m^-2),Pacific cod (No. m^-2)
20190827204410,72.50000240000001,-168.4938236,0.05658610771628745,0.003142475061352358,0.0,0.0,0.0,0.0
20190827204752,72.4996737,-168.46504919999995,0.23716822718871633,0.013170993188319557,0.0,0.0,0.0,0.0
20190827205130,72.4999304,-168.4373382,0.4207827977924169,0.023367916643758542,0.0,0.0,0.0,0.0
20190827205451,72.500105,-168.4096744,0.5651885837191982,0.03138740409931945,0.0,0.0,0.0,0.0
20190827205811,72.50025670000002,-168.3820948,0.5561479656760706,0.030885338877185455,0.0,0.0,0.0,0.0
20190827210130,72.5004284,-168.3545186,0.7698397146802335,0.04275258013422679,0.0,0.0,0.0,0.0
20190827210448,72.50041359999999,-168.326895,0.704794031107425,0.03914030767495052,0.0,0.0,0.0,0.0
20190827210806,72.50035159999999,-168.2993077,0.3704072102611995,0.02057033904200467,0.0,0.0,0.0,0.0
20190827211124,72.5001613,-168.2716881,0.2017307210359748,0.011202992846627489,0.0,0.0,0.0,0.0
20190827211442,72.4999367,-168.24410859999998,0.23779160315538864,0.01320561199333305,0.0,0.0,0.0,0.0
20190827211802,72.4998428,-168.21652790000005,0.22642300192371326,0.012574263641339001,0.0,0.0,0.0,0.0
20190827212122,72.4996124,-168.1889721,0.31562546976566075,0.017528068416339936,0.0,0.0,0.0,0.0
20190827212442,72.4993559,-168.1613658,0.24388275824357347,0.013543880584914913,0.0,0.0,0.0,0.0
20190827212805,72.4993583,-168.13369540000005,0.2288464713099221,0.01270884953909089,0.0,0.0,0.0,0.0
20190827213126,72.49958170000002,-168.10613490000003,0.16316133816066225,0.009061065636757733,0.0,0.0,0.0,0.0
20190827213448,72.4998082,-168.07851619999997,0.3341659465420683,0.018557702512898795,0.0,0.0,0.0,0.0
20190827213813,72.4999622,-168.0508439,0.5831520165019812,0.032384992408746725,0.0,0.0,0.0,0.0
20190827214141,72.49977059999998,-168.0230977,0.8159844669629185,0.04531520087474081,0.0,0.0,0.0,0.0
20190827214510,72.4995733,-167.99534530000003,0.8330291501042246,0.046261766981846725,0.0,0.0,0.0,0.0
20190827214839,72.4993467,-167.9675709,0.9426877792103491,0.05235159222587513,0.0,0.0,0.0,0.0
20190827215205,72.4990308,-167.939799,0.8475460066753789,0.04706795177855911,0.0,0.0,0.0,0.0
20190827215532,72.4986328,-167.91212,0.5058355921830973,0.028091271828601445,0.0,0.0,0.0,0.0
20190827215856,72.49816729999998,-167.884246,0.430596260921668,0.023912901347484444,0.0,0.0,0.0,0.0
20190827220216,72.49818499999998,-167.8566029,0.9493064161661445,0.052719154201878816,0.0,0.0,0.0,0.0
20190827220534,72.4982679,-167.82900949999996,0.7276363404137661,0.040408841423548884,0.0,0.0,0.0,0.0
20190827220852,72.4984017,-167.8012678,0.6838383459117094,0.03797654644840834,0.0,0.0,0.0,0.0
20190827221212,72.49854,-167.773559,0.8537923011110944,0.04741483593939509,0.0,0.0,0.0,0.0
20190827221532,72.498655,-167.7457646,0.5904929295161905,0.03279266554634283,0.0,0.0,0.0,0.0
20190827221850,72.49878170000002,-167.7180873,0.6199017964049574,0.03442586907475195,0.0,0.0,0.0,0.0
20190827222208,72.49895,-167.690475,0.9547722476390029,0.0530226958270157,0.0,0.0,0.0,0.0
20190827222526,72.49906949999998,-167.66281899999996,0.8156059838422215,0.04529418204488224,0.0,0.0,0.0,0.0
