"SHIP","SURVEY","CLAMS_EVENT_NUMBER","CLAMS_STATION_NUMBER","GRID_STATION_NAME","GEAR","NET_PARTITION","CATCH_SAMPLE_NUMBER","SPECIES_CODE","COMMON_NAME","SCIENTIFIC_NAME","SPECIES_SUBCATEGORY","TOTAL_WEIGHT_IN_HAUL","SAMPLED_WEIGHT","TOTAL_NUMBER_IN_HAUL","SAMPLED_NUMBER","FREQUENCY_EXPANSION","SAMPLED_IN_MIX","WHOLE_HAULED","COMMENTS"
174,2012001,3,"1","CH-A01","CanTrawl","Codend",162,23041,"Capelin","Mallotus villosus","None",0.26,0.084,148.5714,48,3.0952,0,1,""
174,2012001,3,"1","CH-A01","CanTrawl","Codend",166,40511,"Aurelia sp.","Aurelia sp.","None",0.03,0.03,0,0,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",168,21110,"Pacific herring","Clupea pallasi","None",682.66,13.26,7104.6063,138,51.4827,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",169,23235,"Chum salmon (juv)","Oncorhynchus keta","Immature",11.46,11.46,4,4,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",170,40504,"Chrysaora melanaster","Chrysaora melanaster","None",5.04,2.16,7,3,2.3333,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",171,21388,"Antlered sculpin","Enophrys diceraus","None",0.02,0.02,1,1,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",172,21740,"Walleye pollock","Gadus chalcogrammus","None",0.16,0.16,15,15,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",173,21725,"Arctic cod","Boreogadus saida","Age 0",0.001,0.001,1,1,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",174,21735,"Saffron cod","Eleginus gracilis","None",0.14,0.14,8,8,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",176,23055,"Rainbow smelt","Osmerus mordax","None",0.004,0.004,1,1,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",177,23041,"Capelin","Mallotus villosus","None",0.02,0.02,4,4,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",178,23801,"Lumpenus sp.","Lumpenus sp.","None",0.11,0.11,2,2,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",179,24185,"Wattled eelpout","Lycodes palearis","None",0.03,0.03,1,1,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",180,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.02,0.02,2,2,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",181,21315,"Arctic staghorn sculpin","Gymnocanthus tricuspis","None",0.01,0.01,1,1,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",182,23235,"Chum salmon (juv)","Oncorhynchus keta","Juvenile",1.662,1.662,85,85,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",2201,23230,"Pink salmon (juv)","Oncorhynchus gorbuscha","Juvenile",0.048,0.048,7,7,1,0,1,""
174,2012001,7,"3","CH-A02","CanTrawl","Codend",2202,23240,"Sockeye salmon (juv)","Oncorhynchus nerka","Juvenile",0.76,0.76,17,17,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",184,23230,"Pink salmon (juv)","Oncorhynchus gorbuscha","Juvenile",0.19,0.19,12,12,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",185,23240,"Sockeye salmon (juv)","Oncorhynchus nerka","Juvenile",0.45,0.45,8,8,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",186,23235,"Chum salmon (juv)","Oncorhynchus keta","Juvenile",0.35,0.35,11,11,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",187,21110,"Pacific herring","Clupea pallasi","None",1.44,1.44,10,10,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",188,23041,"Capelin","Mallotus villosus","None",1.23,0.22,279.5455,50,5.5909,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",189,20202,"sand lance unid.","Ammodytes sp.","None",0.3,0.3,39,39,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",190,23055,"Rainbow smelt","Osmerus mordax","None",0.11,0.11,2,2,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",191,21740,"Walleye pollock","Gadus chalcogrammus","None",0.02,0.02,3,3,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",192,21735,"Saffron cod","Eleginus gracilis","None",0.07,0.07,5,5,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",193,21735,"Saffron cod","Eleginus gracilis","Age 0",0.006,0.006,6,6,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",194,20322,"Bering wolffish","Anarhichas orientalis","None",0.006,0.006,1,1,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",195,23807,"Slender eelblenny","Lumpenus fabricii","None",0.004,0.004,1,1,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",196,21315,"Arctic staghorn sculpin","Gymnocanthus tricuspis","None",0.004,0.004,2,2,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",197,21368,"Shorthorn (Warty) sculpin","Myoxocephalus scorpius","None",0.008,0.008,1,1,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",198,40504,"Chrysaora melanaster","Chrysaora melanaster","None",1,1,1,1,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",199,40561,"Lions mane","Cyanea capillata","None",0.95,0.95,50,50,1,0,1,""
174,2012001,10,"4","CH-B03","CanTrawl","Codend",200,40562,"Staurophora mertensi","Staurophora mertensi","None",1.356,0.046,147.3913,5,29.4783,0,1,"NOT WHOLE "
174,2012001,14,"6","CH-B02","CanTrawl","Codend",204,40504,"Chrysaora melanaster","Chrysaora melanaster","None",44.92,24.99,32.3553,18,1.7975,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",205,21725,"Arctic cod","Boreogadus saida","None",0.09,0.09,10,10,1,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",206,23055,"Rainbow smelt","Osmerus mordax","None",0.27,0.27,10,10,1,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",207,23235,"Chum salmon (juv)","Oncorhynchus keta","Immature",2.77,2.77,1,1,1,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",208,21110,"Pacific herring","Clupea pallasi","None",1.62,1.62,19,19,1,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",209,23041,"Capelin","Mallotus villosus","None",0.19,0.11,60.4545,35,1.7273,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",210,40562,"Staurophora mertensi","Staurophora mertensi","None",0.13,0.02,13,2,6.5,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",211,23807,"Slender eelblenny","Lumpenus fabricii","None",0.014,0.014,1,1,1,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",212,21735,"Saffron cod","Eleginus gracilis","Age 0",0.002,0.002,1,1,1,0,1,""
174,2012001,14,"6","CH-B02","CanTrawl","Codend",213,40561,"Lions mane","Cyanea capillata","None",0.02,0.02,2,2,1,0,1,""
174,2012001,15,"7","Midwater1","CanTrawl","Codend",215,21110,"Pacific herring","Clupea pallasi","None",909.5,7.69,7805.8518,66,118.2705,0,1,""
174,2012001,15,"7","Midwater1","CanTrawl","Codend",216,40504,"Chrysaora melanaster","Chrysaora melanaster","None",35.06,10.81,22.7031,7,3.2433,0,1,""
174,2012001,15,"7","Midwater1","CanTrawl","Codend",217,21725,"Arctic cod","Boreogadus saida","None",0.19,0.19,19,19,1,0,1,""
