"SHIP","SURVEY","CLAMS_EVENT_NUMBER","CLAMS_STATION_NUMBER","GRID_STATION_NAME","GEAR","GEAR_ACTIVITY","LATITUDE","LONGITUDE","TIMESTAMP","CLAMS_COMMENTS"
175,201701,1,"","","AI17_AU","Mooring Recovery","63.399955","-166.239613333","08042017 19:16:40.203","AI17_AU_NS01 Recover"
175,201901,1,"","","AI19_AU","Mooring Deployment","59.2356116667","-169.413306667","08032019 20:12:37.505","BS2. UTC IS AUG4 1241"
175,201701,2,"","","AI17_AU","Mooring Deployment","63.3990333333","-166.235741667","08042017 19:42:26.752","AI17_AU_NS01 Deploy"
175,201901,2,"1","","CTD","Oceanography","63.2941","-168.42485","08072019 04:17:46.014","CTD001"
175,201701,3,"","","AI17_AU","Mooring Recovery","64.8505333333","-168.387615","08052017 17:16:06.720","AI17_AU_NM1 Recovery"
175,201901,3,"","","Current Profiler","Mooring Recovery","63.2982316667","-168.421198333","08072019 07:22:20.724",""
175,201701,4,"","","AI17_AU","Mooring Deployment","64.8488883333","-168.391678333","08052017 17:42:58.103","AI17_AU_NM1 redeployment"
175,201901,4,"2","","CTD","Oceanography","64.1565966667","-171.502453333","08072019 14:27:12.925","CTD002"
175,201701,5,"","","AI17_AU","Mooring Recovery","67.9064583333","-168.198986667","08062017 14:59:11.966","C12, AI17-AU-PH1"
175,201901,5,"","","Current Profiler","Mooring Recovery","64.1561083333","-171.521438333","08072019 15:14:43.076",""
175,201701,6,"","","Current Profiler","Mooring Recovery","67.9107933333","-168.193873333","08062017 15:17:10.018","C12, 17CKP-12A"
175,201901,6,"3","","CTD","Oceanography","64.9277966667","-169.919953333","08072019 22:51:46.941","CTD003 AT MOORING N4-18"
175,201701,7,"1","","CTD","Oceanography","67.9106666667","-168.183865","08062017 15:45:21.797","C12"
175,201901,7,"","","Current Profiler","Mooring Recovery","64.930765","-169.91733","08072019 23:25:40.152","N4-18"
175,201701,8,"","","AI17_AU","Mooring Recovery","69.3184566667","-167.60825","08072017 01:25:46.619","STATION X, AI17-AU-CL1"
175,201901,8,"4","","CTD","Oceanography","64.3933166667","-167.087685","08082019 14:23:23.207","MOORING N3-18"
175,201701,9,"","","Current Profiler","Mooring Deployment","70.211585","-167.784128333","08072017 08:10:19.327","C10, 17CKP-10A  DEPLOY FIRST THEN RETRIEVE"
175,201901,9,"4","","CTD","Oceanography","64.3892466667","-167.07623","08082019 16:18:11.815","CTD005 FOR PRODUCTION"
175,201701,10,"","","Current Profiler","Mooring Recovery","70.2126533333","-167.78499","08072017 08:19:04.522","C10 17CKP-10A"
175,201901,10,"","","AI19_AU","Mooring Recovery","64.852845","-168.391728333","08092019 14:20:36.010","AU-NM1"
175,201701,11,"2","","CTD","Oceanography","70.211695","-167.79039","08072017 08:38:28.900","C10"
175,201901,11,"","","AI19_AU","Mooring Deployment","64.8535433333","-168.39384","08092019 15:01:33.879","AU-NM1"
175,201701,12,"","","AI17_AU","Mooring Recovery","70.2076833333","-167.78262","08072017 08:53:53.147","C10, AI17-AU-CC1  DID NOT RELEASE WHEN TRIGGERED.  GRAPPLED IT.  RELEASE TIME IS INVALID"
175,201901,12,"5","","CTD","Oceanography","64.8503766667","-168.394263333","08092019 15:36:44.907","AT AU-NM1"
175,201701,13,"3","","CTD","Oceanography","70.0178616667","-166.849923333","08072017 23:27:48.716",""
175,201901,13,"6","","CTD","Oceanography","67.53855","-164.886273333","08102019 14:09:26.655","AT MOORING NF-18"
175,201701,14,"","","Current Profiler","Mooring Deployment","70.016765","-166.84983","08072017 23:38:18.032","CKP-17-11A"
175,201901,14,"","","Current Profiler","Mooring Recovery","67.5385583333","-164.887195","08102019 14:24:57.428","NF-18  NOT RELEASED FIRST TIME LIKELY FOULED DRAG FOR IT 1524 UTC FLOAT RELEASED"
175,201701,15,"3","","CTD","Oceanography","70.0189033333","-166.850763333","08082017 00:02:38.161",""
175,201901,15,"6","","CTD","Oceanography","67.5407416667","-164.894321667","08102019 15:54:14.063","CTD008 AT NF-18"
175,201701,16,"","","AI17_AU","Mooring Recovery","70.01689","-166.85698","08082017 00:14:39.593","AL16-AU-CC2"
175,201901,16,"7","","CTD","Oceanography","67.9109233333","-168.19465","08112019 01:03:22.038","CTD009 CK-12"
175,201701,17,"","","AI17_AU","Mooring Deployment","70.0157366667","-166.859411667","08082017 00:35:14.729","AI17-AU-CC2"
175,201901,17,"","","AI19_AU","Mooring Recovery","67.909615","-168.193495","08112019 01:17:53.572","PH-1"
175,201701,18,"","","Current Profiler","Mooring Recovery","70.0143883333","-166.85459","08082017 00:45:58.039","CKP16-11A, C11"
175,201901,18,"","","Current Profiler","Mooring Recovery","67.9109733333","-168.194488333","08112019 01:32:29.302","CK-12"
175,201701,19,"","","DAFT","Mooring Deployment","70.013455","-166.8579","08082017 01:19:37.536","DAFT1, C11"
175,201901,19,"","","AI19_AU","Mooring Deployment","67.911865","-168.193805","08112019 02:14:47.712","PH-1"
175,201701,20,"4","","Bongo","Oblique tow","71.2365466667","-164.215981667","08082017 14:54:18.499","C2"
175,201901,20,"8","","CTD","Oceanography","68.6725216667","-167.742231667","08112019 14:07:12.534","CTD008  AT N6"
175,201701,21,"4","","CTD","Oceanography","71.23294","-164.220961667","08082017 15:20:12.121","C2"
175,201901,21,"","","Current Profiler","Mooring Recovery","68.671425","-167.746191667","08112019 19:29:05.443","N6-18. DIVERT PICK UP DERELICT GEAR. NO RESPONSE FROM MOORING. SEARCHING.DRAGGING FOR IT. NOT FOUND"
175,201701,22,"","","AI17_AU","Mooring Recovery","71.227695","-164.21084","08082017 15:45:28.809","C2, AL16-AU-IC2"
175,201901,22,"8","","CTD","Oceanography","68.6729266667","-167.746693333","08112019 19:39:57.766","CTD011 AT N6-18"
175,201701,23,"","","AI17_AU","Mooring Deployment","71.2292366667","-164.213825","08082017 16:11:36.162","C2, AI17-AU-IC2"
175,201901,23,"9","","CTD","Oceanography","69.3189766667","-167.62154","08122019 00:26:42.123","CTD012"
175,201701,24,"","","Ice Profiler","Mooring Recovery","71.2302033333","-164.221381667","08082017 16:56:53.977","C2, 16CKIP-2A"
175,201901,24,"","","AI19_AU","Mooring Deployment","69.3162816667","-167.616771667","08122019 00:49:45.314","AU-CL1"
175,201701,25,"","","Ice Profiler","Mooring Deployment","71.2308","164.2213","08082017 17:33:00.000","C2. 17CKIP-2A Deploy"
175,201901,25,"10","","CTD","Oceanography","70.2176683333","-167.796983333","08122019 14:07:37.570","CK-10 CTD013"
175,201701,26,"","","Current Profiler","Mooring Recovery","71.23107","-164.219205","08082017 17:36:34.242","C2, 16CKP-2A"
175,201901,26,"","","Current Profiler","Mooring Recovery","70.2204333333","-167.789755","08122019 14:27:03.878","CK-10"
175,201701,27,"","","Current Profiler","Mooring Deployment","71.231975","-164.216656667","08082017 18:14:43.308","C2, 17CKP-2A"
175,201901,27,"11","","CTD","Oceanography","70.0171016667","-166.866045","08122019 17:38:50.014","CTD014 AT CK-11"
175,201701,28,"","","TAPS","Mooring Recovery","71.2300066667","-164.212885","08082017 18:29:51.034",".  C2, 16CKT-2A.  RELEASE NOT WORKING"
175,201901,28,"","","Current Profiler","Mooring Recovery","70.01729","-166.864296667","08122019 17:57:43.932","CK-11"
175,201701,29,"4","","CTD","Oceanography","71.2303866667","-164.207641667","08082017 18:48:44.113","C2.  CAST FOR EISNERS PRODUCTION EXPT"
175,201901,29,"","","Current Profiler","Mooring Recovery","70.0181083333","-166.855268333","08122019 18:18:32.692","18CKP-11A"
175,201701,30,"","","TAPS","Mooring Recovery","71.2320416667","-164.19945","08082017 21:35:30.415","C2, 16CKT-2A RECOVERY.  SUCCESSFULLY GRAPPLED MOORING THAT DIDNT RELEASE ON EVENT 28"
175,201901,30,"12","","CTD","Oceanography","71.8270533333","-166.050486667","08132019 14:13:05.387","CTD015 AT 18CKP-3A"
175,201701,31,"","","DAFT","Mooring Deployment","70.8355916667","-163.104715","08092017 01:41:52.509"," STATION 5  C1"
175,201901,31,"","","AI19_AU","Mooring Recovery","71.8286516667","-166.061825","08132019 14:43:33.713","IC3"
175,201701,32,"","","AI17_AU","Mooring Recovery","70.8359483333","-163.109976667","08092017 01:50:24.949","AUCL16-AU-IC1"
175,201901,32,"","","Current Profiler","Mooring Recovery","71.82634","-166.053891667","08132019 15:00:37.256","18CKP-3A"
175,201701,33,"","","AI17_AU","Mooring Deployment","70.83782","-163.108306667","08092017 02:28:04.834","C1  AL16-AU-IC1"
175,201901,33,"","","Current Profiler","Mooring Recovery","71.8259266667","-166.053485","08132019 15:21:39.227","CKIP-3A"
175,201701,34,"","","Current Profiler","Mooring Recovery","70.8384466667","-163.108188333","08092017 02:41:05.170","C1, 16CKP-1A"
175,201901,34,"","","Current Profiler","Mooring Deployment","71.8247716667","-166.059333333","08132019 15:56:35.508","CKIP-3A"
175,201701,35,"","","Current Profiler","Mooring Deployment","70.837935","-163.109131667","08092017 03:14:53.811","C1, 17CKP-1A"
175,201901,35,"","","AI19_AU","Mooring Deployment","71.8288083333","-166.066543333","08132019 16:09:13.767","IC3"
175,201701,36,"","","Ice Profiler","Mooring Recovery","70.838195","-163.119448333","08092017 03:24:41.378","C1, 16CKIP-1A"
175,201901,36,"","","CTD","Opportunistic bottom sample","71.825615","-165.983763333","08132019 16:39:58.937","IC 11"
175,201701,37,"","","Ice Profiler","Mooring Deployment","70.8371516667","-163.123395","08092017 04:00:20.941","C1, 17CKIP-1A"
175,201901,37,"","","Bongo","Opportunistic bottom sample","","","","IC 11 BONGO 1"
175,201701,38,"5","","CTD","Oceanography","70.8374983333","-163.121356667","08092017 04:13:19.636","C1"
175,201901,38,"","","Bongo","Opportunistic bottom sample","","","","IC 11 Recast of bongo. This is also Bongo 001."
175,201701,39,"6","CH-J06","CTD","Oceanography","70.5001383333","-160.996013333","08092017 21:52:17.735",""
175,201901,39,"","","CTD","Opportunistic bottom sample","71.7067183333","-165.608003333","08132019 19:07:47.988","IC 10 CTD only."
175,201701,40,"6","CH-J06","Bongo","Oblique tow","70.5021466667","-161.00537","08092017 22:13:35.865",""
175,201901,40,"","","CTD","Opportunistic bottom sample","71.6059483333","-165.305048333","08132019 20:26:54.492","IC 09. CTD 018"
175,201701,41,"6","CH-J06","3m Beam Trawl","Standard bottom sample","70.5004516667","-161.003876667","08092017 23:53:13.059","CHJ-06"
175,201901,41,"888","","Bongo","Oblique tow","71.6042533333","-165.300393333","08132019 20:42:46.895","IC 09. Bongo 002. Depths of 255 are placeholders.Station 888 not correct."
175,201701,42,"6","CH-J06","3m Beam Trawl","Standard bottom sample","70.500985","-161.003878333","08102017 00:44:14.183","CHJ-06"
175,201901,42,"","","CTD","Opportunistic bottom sample","71.4515616667","-164.923138333","08132019 22:16:22.676","IC 08.  CTD 019"
175,201701,43,"","","Seabird Survey","Seabird Survey Start","70.51797","-161.023013333","08102017 01:20:49.028",""
175,201901,43,"","","CTD","Opportunistic bottom sample","71.34291","-164.618228333","08132019 23:47:56.286","IC 07. CTD 020."
175,201701,44,"","","Seabird Survey","Seabird Survey End","70.8573233333","-161.54222","08102017 06:51:18.088",""
175,201901,44,"","","Bongo","Opportunistic bottom sample","71.3406116667","-164.612615","08142019 00:07:06.152","Bongo 003. IC 7."
175,201701,45,"","","Seabird Survey","Seabird Survey End","71.0028","-159.738331667","08112017 06:32:13.044",""
175,201901,45,"","","CTD","Opportunistic bottom sample","71.2161933333","-164.25775","08142019 01:35:36.145","CTD 021."
175,201701,46,"7","CH-K07","Bongo","Oblique tow","71.0085833333","-159.268196667","08112017 14:54:28.680","CHK07"
175,201901,46,"","","AI19_AU","Mooring Recovery","71.2158566667","-164.264508333","08142019 01:49:02.485","IC2"
175,201701,47,"7","CH-K07","CTD","Oceanography","71.0019116667","-159.290106667","08112017 15:20:26.822","CHK07"
175,201901,47,"","","Current Profiler","Mooring Recovery","71.2181966667","-164.257685","08142019 02:05:00.025","CK-P"
175,201701,48,"7","CH-K07","CTD","Oceanography","71.0034233333","-159.281591667","08112017 15:45:59.133","CHK07"
175,201901,48,"","","Current Profiler","Mooring Recovery","71.2131416667","-164.25041","08142019 02:28:25.248","CK-IP"
175,201701,49,"7","CH-K07","Nordic","Off-bottom sample","70.967105","-159.186961667","08112017 17:16:23.557","CHK07  120LB TOM WEIGHTS ON EA SIDE  REMOVED SETBACK   ABORTED EARLY BC FISHING DEEP IN SHALLOW WATER "
175,201901,49,"","","Current Profiler","Mooring Recovery","71.2170066667","-164.233978333","08142019 02:48:47.043","CKR2A"
175,201701,50,"7","CH-K07","Nordic","Off-bottom sample","70.9814683333","-159.205323333","08112017 18:36:53.560","REDO OF SURFACE TRAWL. REMOVED TOM WEIGHTS TO FLOAT NET HIGHER IN WATER"
175,201901,50,"","","Current Profiler","Mooring Recovery","71.2181033333","-164.24586","08142019 03:04:31.436","CKV2A"
175,201701,51,"7","CH-K07","3m Beam Trawl","Standard bottom sample","71.010075","-159.281048333","08112017 20:07:36.626","CHK07"
175,201901,51,"19","","CTD","Oceanography","71.2181266667","-164.264285","08142019 14:55:18.610","AT CKP-2A"
175,201701,52,"","","AI17_AU","Mooring Recovery","71.0393816667","-160.50966","08122017 00:06:37.507","C4"
175,201901,52,"20","","CTD","Oceanography","71.2001483333","-164.209483333","08142019 15:25:19.560","IC06"
175,201701,53,"","","AI17_AU","Mooring Deployment","71.0416033333","-160.515383333","08122017 00:42:30.902","C4"
175,201901,53,"","","CTD","Opportunistic bottom sample","71.08999","-163.798321667","08142019 17:08:54.105","IC 05. CTD 024."
175,201701,54,"","","Current Profiler","Mooring Recovery","71.03725","-160.515098333","08122017 00:53:37.358","C4"
175,201901,54,"","","Bongo","Opportunistic bottom sample","71.08929","-163.795241667","08142019 17:28:09.473","IC 05. Bongo 004."
175,201701,55,"","","Current Profiler","Mooring Deployment","71.0378533333","-160.51201","08122017 01:29:18.566","C4"
175,201901,55,"","","CTD","Opportunistic bottom sample","70.97504","-163.563506667","08142019 18:44:15.574","IC 04. CTD 025."
175,201701,56,"","","DAFT","Mooring Deployment","71.038835","-160.504573333","08122017 01:52:20.777","C4"
175,201901,56,"","","CTD","Opportunistic bottom sample","70.8530633333","-163.183151667","08142019 20:27:07.238","IC 03. CTD 026."
175,201701,57,"8","","CTD","Oceanography","71.0322366667","-160.50059","08122017 02:21:39.046",""
175,201901,57,"","","Bongo","Opportunistic bottom sample","70.8543716667","-163.177818333","08142019 20:44:36.980","IC 03. Bongo 005."
175,201701,58,"","","Seabird Survey","Seabird Survey Start","71.0295216667","-160.512103333","08122017 02:30:30.108",""
175,201901,58,"","","CTD","Opportunistic bottom sample","70.722465","-162.8509","08142019 22:20:12.542","IC 02. CTD 027."
175,201701,59,"","","Seabird Survey","Seabird Survey End","71.0057866667","-159.075233333","08122017 07:21:00.290",""
175,201901,59,"","","CTD","Opportunistic bottom sample","70.5834333333","-162.486188333","08142019 23:55:51.553","IC 01. CTD 028."
175,201701,60,"9","CH-K08","3m Beam Trawl","Standard bottom sample","70.9939733333","-157.803266667","08122017 14:49:46.942","CH-K08"
175,201901,60,"","","Bongo","Opportunistic bottom sample","70.5839933333","-162.475145","08152019 00:11:23.214","IC 01. Bongo 006."
175,201701,61,"9","CH-K08","Bongo","Oblique tow","70.99771","-157.80085","08122017 15:30:14.517","CH-K08"
175,201901,61,"","","CTD","Opportunistic bottom sample","70.7063633333","-162.447311667","08152019 01:24:24.093","CTD 029. AT CK14"
175,201701,62,"9","CH-K08","CTD","Oceanography","71.0010683333","-157.802556667","08122017 15:45:34.463","CH-K08"
175,201901,62,"","","Current Profiler","Mooring Recovery","70.7091366667","-162.446878333","08152019 01:41:51.561","CK-14"
175,201701,63,"","","Seabird Survey","Seabird Survey Start","71.0457166667","-157.976355","08122017 16:25:09.184",""
175,201901,63,"27","","CTD","Oceanography","70.8423866667","-163.12066","08152019 14:15:06.010","AT IC1 MOORING"
175,201701,64,"","","Seabird Survey","Seabird Survey End","71.0747383333","-158.09541","08122017 16:48:50.090",""
175,201901,64,"","","AI19_AU","Mooring Recovery","70.840495","-163.122151667","08152019 14:36:16.290","IC1. LINE CAUGHT IN PORT SCREW 0655 LOCAL"
