,StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC,MLD
0,CH-A01-2012,CH-A01,66.0,-168.5,1.0,CTD,2012,53.0,1.802,32.532,1.534714366,5.0,2.061,32.837,3.006672214,5.0,0.081291624,5.072043922,8.997495837,1.119545027,8.0
1,CH-A02-2012,CH-A02,66.0,-167.27151202424716,3.0,CTD,2012,20.0,10.541,26.593000000000004,-0.274436846,6.0,9.348,29.212,-0.46203546,6.0,0.183658787,3.360375387,4.647330507,0.217202892,7.0
2,CH-B01-2012,CH-B01,66.5,-168.5,9.0,CTD,2012,52.0,5.329,31.812,-0.040821995,5.0,1.415,32.486,1.8000582719999998,5.0,0.116262747,3.864931398,8.730391205,0.7455333279999999,6.5
3,CH-B02-2012,CH-B02,66.5,-167.24690249690434,6.0,CTD,2012,29.0,10.174,26.642,1.611435915,6.0,7.941,30.33,0.7466879470000001,6.0,0.186055407,3.401197382,5.999643257000001,0.421821178,5.5
4,CH-B03-2012,CH-B03,66.5,-165.993804993809,4.0,CTD,2012,19.0,9.78,29.398000000000003,-0.527632742,6.0,9.426,29.595,2.16791019,6.0,0.106082251,3.034952987,2.804165996,0.08,8.5
5,CH-C01-2012,CH-C01,67.0,-168.5,10.0,CTD,2012,39.0,4.332,31.927,1.160020917,5.0,1.485,32.33,1.528227857,5.0,0.111557516,3.335769576,7.473285757,0.75,15.0
6,CH-C02-2012,CH-C02,67.0,-167.2211874378042,13.0,CTD,2012,39.0,8.267000000000001,30.374,0.536493371,6.0,5.763,31.557,1.4655675419999998,5.0,0.133800276,4.119037175,8.467671235,0.521297204,15.0
7,CH-C03-2012,CH-C03,67.0,-165.942374875608,15.0,CTD,2012,24.0,9.904,28.479,-0.916290732,6.0,8.969,29.459,-0.248461359,6.0,0.141450515,3.725693427,2.842841041,0.5752829420000001,11.5
8,CH-C04-2012,CH-C04,67.0,-164.663562313412,17.0,CTD,2012,27.0,9.137,30.217,-1.897119985,6.0,6.997000000000001,31.341,-0.261364764,5.0,0.146373559,3.701301974,2.364322195,0.31271942,11.0
9,CH-D01-2012,CH-D01,67.5,-168.5,25.0,CTD,2012,49.0,7.125,28.314,1.08180517,6.0,1.085,32.563,2.673458756,5.0,0.17163265,3.953164949,8.693100713,1.2,2.5
10,CH-D02-2012,CH-D02,67.5,-167.19429331368374,23.0,CTD,2012,46.0,5.653,31.845,0.576613364,5.0,2.176,32.371,2.00148,5.0,0.115481779,4.244200318,7.984732505,0.8272628009999999,3.5
11,CH-D03-2012,CH-D03,67.5,-165.888586627367,20.0,CTD,2012,40.0,9.919,28.996,0.198850859,6.0,4.234,32.071,1.011600912,5.0,0.170718011,3.039749159,3.445710863,0.327695705,5.0
12,CH-D04-2012,CH-D04,67.5,-164.58287994105,18.0,CTD,2012,30.0,9.447,30.046,0.076961041,6.0,7.49,30.804,1.363537374,6.0,0.134501321,3.616308761,6.5268675489999985,0.41,4.5
13,CH-E01-2012,CH-E01,68.0,-168.5,26.0,CTD,2012,59.0,6.272,31.889,0.451075619,5.0,0.6629999999999999,32.676,2.463001814,5.0,0.118923684,4.7732237710000005,8.452218644,1.26,7.5
14,CH-E02-2012,CH-E02,68.0,-167.16613990126982,28.0,CTD,2012,56.0,7.239,31.055,-1.609437912,6.0,3.115,32.255,0.916290732,5.0,0.128421647,3.96081317,5.320714238,0.44,7.0
