StationID,MAST_Station,MAST_Latdd,MAST_Longdd,Station,Gear,Year,Depth.bot,Temp.surf,Sal.surf,DIN.surf,Water.surf,Temp.bot,Sal.bot,DIN.bot,Water.bot,MeanStrat,IntChla,phi5,TOC
CH-A01-2012,CH-A01,66.0,-168.5,1.0,CTD,2012,53.0,1.8019999999999998,32.532,1.534714366,5.0,2.061,32.836999999999996,3.006672214,5.0,0.081291624,5.072043922,8.997495837,1.119545027
CH-A02-2012,CH-A02,66.0,-167.27151202424716,3.0,CTD,2012,20.0,10.540999999999999,26.593000000000004,-0.274436846,6.0,9.347999999999999,29.212,-0.46203546,6.0,0.183658787,3.360375387,4.6473305069999995,0.21720289199999998
CH-B01-2012,CH-B01,66.5,-168.5,9.0,CTD,2012,52.0,5.329,31.811999999999998,-0.040821995,5.0,1.415,32.486,1.8000582719999998,5.0,0.11626274699999999,3.864931398,8.730391205,0.7455333279999999
CH-B02-2012,CH-B02,66.5,-167.24690249690434,6.0,CTD,2012,29.0,10.174,26.642,1.611435915,6.0,7.941,30.33,0.7466879470000001,6.0,0.186055407,3.401197382,5.999643257000001,0.42182117799999996
CH-B03-2012,CH-B03,66.5,-165.993804993809,4.0,CTD,2012,19.0,9.78,29.398000000000003,-0.527632742,6.0,9.426,29.595,2.16791019,6.0,0.106082251,3.034952987,2.804165996,0.08
CH-C01-2012,CH-C01,67.0,-168.5,10.0,CTD,2012,39.0,4.332,31.927,1.160020917,5.0,1.485,32.33,1.5282278569999999,5.0,0.111557516,3.335769576,7.473285757,0.75
CH-C02-2012,CH-C02,67.0,-167.2211874378042,13.0,CTD,2012,39.0,8.267000000000001,30.374000000000002,0.536493371,6.0,5.763,31.557,1.4655675419999998,5.0,0.133800276,4.119037175,8.467671235,0.521297204
CH-C03-2012,CH-C03,67.0,-165.942374875608,15.0,CTD,2012,24.0,9.904,28.479,-0.916290732,6.0,8.969,29.459,-0.248461359,6.0,0.141450515,3.725693427,2.8428410410000002,0.5752829420000001
CH-C04-2012,CH-C04,67.0,-164.663562313412,17.0,CTD,2012,27.0,9.137,30.217,-1.897119985,6.0,6.997000000000001,31.340999999999998,-0.26136476399999997,5.0,0.14637355900000001,3.7013019739999997,2.364322195,0.31271942
CH-D01-2012,CH-D01,67.5,-168.5,25.0,CTD,2012,49.0,7.125,28.314,1.08180517,6.0,1.085,32.563,2.673458756,5.0,0.17163265,3.9531649489999996,8.693100713,1.2
CH-D02-2012,CH-D02,67.5,-167.19429331368374,23.0,CTD,2012,46.0,5.653,31.845,0.576613364,5.0,2.176,32.371,2.00148,5.0,0.115481779,4.244200318,7.984732505,0.8272628009999999
CH-D03-2012,CH-D03,67.5,-165.888586627367,20.0,CTD,2012,40.0,9.919,28.996,0.198850859,6.0,4.234,32.071,1.011600912,5.0,0.170718011,3.039749159,3.445710863,0.327695705
CH-D04-2012,CH-D04,67.5,-164.58287994105,18.0,CTD,2012,30.0,9.447000000000001,30.046,0.076961041,6.0,7.49,30.804000000000002,1.363537374,6.0,0.134501321,3.6163087610000004,6.526867548999999,0.41
CH-E01-2012,CH-E01,68.0,-168.5,26.0,CTD,2012,59.0,6.272,31.889,0.451075619,5.0,0.6629999999999999,32.676,2.463001814,5.0,0.118923684,4.7732237710000005,8.452218644,1.26
CH-E02-2012,CH-E02,68.0,-167.1661399012698,28.0,CTD,2012,56.0,7.239,31.055,-1.609437912,6.0,3.115,32.255,0.916290732,5.0,0.128421647,3.96081317,5.320714238,0.44
CH-E03-2012,CH-E03,68.0,-165.82,30.0,CTD,2012,29.0,9.471,30.392,-0.616186139,6.0,8.585,30.646,-0.105360516,6.0,0.105556913,3.1654750480000002,5.095368816000001,0.6112334779999999
CH-F01-2012,CH-F01,68.5,-168.5,32.0,CTD,2012,52.0,7.053,31.487,-0.7765287890000001,6.0,2.042,32.366,1.098612289,5.0,0.127152937,3.2619353139999996,8.390052666,1.295563308
CH-F02-2012,CH-F02,68.5,-167.13663950927923,35.0,CTD,2012,36.0,9.777999999999999,29.349,-0.84397007,6.0,9.097999999999999,30.601,-0.23572233399999998,6.0,0.13567663900000002,3.202746443,7.047600772999999,0.518288396
CH-G01-2012,CH-G01,69.0,-168.5,41.0,CTD,2012,51.0,6.565,31.546999999999997,-1.078809661,5.0,0.747,32.505,1.247032294,5.0,0.12866529300000001,3.4499875460000005,9.972462083,1.5
CH-G02-2012,CH-G02,69.0,-167.105696090033,38.0,CTD,2012,47.0,8.052999999999999,31.035,-0.84397007,6.0,5.556,31.715999999999998,-1.021651248,5.0,0.119322996,3.496507561,8.984430977999999,1.09
CH-G03-2012,CH-G03,69.0,-165.70791833333334,37.0,CTD,2012,20.0,10.041,27.073,-0.139262067,6.0,8.921,28.566999999999997,-0.597837001,6.0,0.166157007,3.0204248860000003,4.769403165,0.836312418
CH-H01-2012,CH-H01,69.5,-168.5,42.0,CTD,2012,51.0,6.64,31.733,-1.203972804,5.0,0.598,32.724000000000004,1.658228077,5.0,0.130524806,2.753660712,8.716359543,1.4047025869999998
CH-H02-2012,CH-H02,69.5,-167.0732042174865,45.0,CTD,2012,46.0,7.718,31.111,-1.108662625,6.0,4.526,31.984,0.615185639,5.0,0.125521448,3.46260601,5.758535207,0.313688336
CH-H03-2012,CH-H03,69.5,-165.646408434973,47.0,CTD,2012,36.0,8.068999999999999,31.009,-0.544727175,6.0,8.035,31.016,-0.020202707,6.0,0.042459105,3.7208625,3.9001217169999998,0.267013198
CH-H04-2012,CH-H04,69.5,-164.21961265246,49.0,CTD,2012,24.0,8.693999999999999,29.365,0.8109302159999999,6.0,8.789,29.410999999999998,0.609765572,6.0,0.056093017,3.523415014,8.793781335,0.08
CH-I01-2012,CH-I01,70.0,-168.5,58.0,CTD,2012,43.0,5.167000000000001,30.124000000000002,0.104360015,5.0,-0.7240000000000001,32.899,1.808288771,3.0,0.163378421,3.2347491739999996,7.044594921,1.0003417890000001
CH-I02-2012,CH-I02,70.0,-167.03904791900405,56.0,CTD,2012,48.0,6.218,31.595,-0.040821995,5.0,3.2889999999999997,32.256,1.300191662,5.0,0.118511299,3.5380565639999997,8.190125732,0.351208267
CH-I03-2012,CH-I03,70.0,-165.578095838008,53.0,CTD,2012,41.0,7.292999999999999,31.314,-0.385662481,6.0,6.859,31.52,1.10856262,5.0,0.08769038400000001,3.730501129,6.4311740760000005,0.49
CH-I04-2012,CH-I04,70.0,-164.13529499999999,50.0,CTD,2012,32.0,7.471,31.111,0.067658648,6.0,6.676,31.334,0.494696242,5.0,0.101072619,3.2347491739999996,3.367491648,0.16
CH-J01-2012,CH-J01,70.5,-168.5,59.0,CTD,2012,40.0,6.059,31.125,-0.994252273,5.0,-0.41700000000000004,32.815,-0.597837001,3.0,0.149961467,1.774952351,8.900675012,1.153881359
CH-J02-2012,CH-J02,70.5,-167.003099320258,61.0,CTD,2012,50.0,5.632000000000001,29.927,0.494696242,5.0,1.7890000000000001,32.595,1.115141591,5.0,0.151077229,2.587764035,3.78153408,0.78
CH-J03-2012,CH-J03,70.5,-165.506198640516,65.0,CTD,2012,43.0,5.92,31.948,-0.356674944,5.0,3.7230000000000003,32.234,0.048790164000000004,5.0,0.10563971400000001,3.6635616460000002,8.560373824,0.81
CH-J04-2012,CH-J04,70.5,-164.009297960774,68.0,CTD,2012,43.0,6.7,31.666,-0.867500568,5.0,5.086,31.999000000000002,0.457424847,5.0,0.101883609,3.817712326,6.190246127000001,0.583685172
CH-J05-2012,CH-J05,70.5,-162.512397281032,71.0,CTD,2012,34.0,7.646,30.901999999999997,0.858661619,6.0,6.3660000000000005,31.5,0.542324291,5.0,0.11882099,3.4719664530000003,4.765501023000001,0.28
CH-J06-2012,CH-J06,70.5,-161.00060166666665,73.0,CTD,2012,25.0,9.164,28.646,0.009950331,6.0,8.227,29.894000000000002,-0.139262067,6.0,0.15057373699999999,3.310543013,2.594650514,0.467689918
CH-K01-2012,CH-K01,71.0,-168.5,92.0,CTD,2012,47.0,5.615,30.523000000000003,-0.733969175,5.0,-0.32799999999999996,33.034,2.1306098280000003,3.0,0.15457459199999998,2.9231615810000005,9.024965373999999,1.19
CH-K02-2012,CH-K02,71.0,-166.96521707968793,88.0,CTD,2012,46.0,6.07,31.735,-1.108662625,5.0,1.2409999999999999,32.57,1.648658626,5.0,0.128158794,2.862200881,9.125787637,0.86
CH-K03-2012,CH-K03,71.0,-165.430434159376,86.0,CTD,2012,41.0,6.029,31.397,-2.040220829,5.0,3.255,32.342,1.249901736,5.0,0.124440657,3.1654750480000002,7.079548008,0.52
CH-K04-2012,CH-K04,71.0,-163.895651239064,84.0,CTD,2012,43.0,4.779,29.865,-1.427116356,1.0,1.22,32.606,1.378766095,5.0,0.1585535,3.602776755,7.8025636810000005,0.76
CH-K05-2012,CH-K05,71.0,-162.360868318752,82.0,CTD,2012,45.0,5.849,30.474,-0.544727175,5.0,3.015,32.42,1.061256502,5.0,0.144202046,3.349904087,6.280923499,0.45
CH-K06-2012,CH-K06,71.0,-160.82608539844,79.0,CTD,2012,46.0,6.3020000000000005,30.741,-1.021651248,5.0,1.785,32.555,1.486139696,5.0,0.14258167900000002,3.238678452,5.627610505,0.6
CH-K07-2012,CH-K07,71.0,-159.291302478128,77.0,CTD,2012,52.0,6.775,31.061,0.48242614899999997,5.0,5.803999999999999,31.648000000000003,0.542324291,5.0,0.104678774,3.346389145,3.797367509,0.6
CH-K08-2012,CH-K08,71.0,-157.77290666666667,75.0,CTD,2012,25.0,8.901,28.546999999999997,-0.9675840259999999,6.0,8.531,28.734,-1.171182982,6.0,0.098019433,3.640214282,2.046948949,0.08
