,profile_id,latitude,longitude,time,Depth_max,S_max,S_min,S_surf,S_bot,S_mean,T_min,T_max,T_surf,T_bot,T_mean,MLD,Water_surf,Water_bot
0,os1701l2c062_ctd,72.49834,194.81616,2017-08-29 14:42:39+00:00,45.522800006105996,32.6617,31.4536,31.4536,32.65756666666666,32.18648723404256,1.8915,6.6152,5.0051,1.8924666666666667,4.880304255319149,7.5,5,5.0
1,os1701l2c063_ctd,72.498665,196.49066000000002,2017-08-29 22:39:37+00:00,44.53328119444839,32.5589,31.5288,31.5288,32.55636666666667,32.06465869565216,-0.0975,6.0815,4.929299999999999,1.3278,3.948710869565218,9.0,5,5.0
2,os1701l2c064_ctd,72.49133,196.48666,2017-08-29 23:19:17+00:00,43.543775304556895,32.5504,31.6019,31.6022,32.5462,32.11205555555557,1.3002,5.8983,5.0183,1.3045333333333335,4.446273333333334,9.0,5,5.0
3,os1701l2c065_ctd,72.49566999999999,198.10433999999998,2017-08-30 14:19:35+00:00,39.58562534573787,32.571,31.0073,31.0073,32.56955,31.816743902439022,2.3396,5.7675,4.4769,2.3431666666666664,4.327334146341461,10.0,5,5.0
4,os1701l2c066_ctd,72.49983,199.78916999999998,2017-08-30 19:42:32+00:00,42.554228112254044,32.4494,29.6893,29.6893,32.44668333333333,31.36530454545454,0.7639,6.296,3.4600000000000004,1.1068666666666669,3.759102272727273,11.0,1,5.0
5,os1701l2c067_ctd,72.49516,199.787,2017-08-30 20:25:08+00:00,42.554238649277984,32.4489,29.7104,29.7104,32.44125,31.38330909090909,0.7012,6.3524,3.5259,1.0910333333333335,3.752797727272727,11.0,1,5.0
6,os1701l2c068_ctd,72.49817,201.47783,2017-08-31 03:47:17+00:00,57.39664272999281,32.3028,28.3971,28.3971,32.302366666666664,30.965689830508474,-0.9014,3.674,3.674,-0.49785,1.0274288135593217,12.5,1,2.0
7,os1701l2c069_ctd,72.555336,203.0975,2017-08-31 20:09:36+00:00,297.6927533586363,34.7414,25.4868,25.4868,34.73803333333333,32.284539393939404,-1.4022,3.4271,3.1579,0.5308833333333333,-0.12797777777777788,8.0,1,7.0
8,os1701l2c070_ctd,72.3735,202.85367,2017-09-01 01:41:46+00:00,232.45724375976138,34.4665,26.9376,26.9376,34.42525,32.460750423728825,-1.3211,7.5269,4.1629,-0.1730666666666667,0.697595338983051,14.0,1,7.0
9,os1701l2c071_ctd,72.253,202.58684,2017-09-01 04:36:26+00:00,111.81104622927471,32.4502,29.2531,29.2531,32.42275,31.51796036036037,-0.6874,4.3537,4.345,-0.51195,1.1271585585585575,15.0,1,3.0
10,os1701l2c072_ctd,71.999664,202.77233999999999,2017-09-01 14:34:32+00:00,75.20812324582008,32.1487,29.5362,29.5414,32.12438333333333,30.959357142857147,-0.9478,4.248,4.240000000000001,0.04629999999999999,1.6170012987012996,22.0,1,5.0
11,os1701l2c073_ctd,72.000336,201.23183,2017-09-01 21:29:24+00:00,47.50309145228504,32.3625,29.3758,29.3758,32.3122,30.83753469387755,-0.8181,3.9599,3.8844,-0.4371333333333333,1.6231632653061232,18.0,1,2.0
12,os1701l2c074_ctd,71.99717,201.19917,2017-09-01 22:07:53+00:00,48.49262988958969,32.3664,29.3449,29.3449,32.364716666666666,30.886085999999995,-0.7509999999999999,3.9045,3.8693,-0.33145,1.71543,19.0,1,2.0
13,os1701l2c075_ctd,71.998665,199.59717,2017-09-02 03:15:41+00:00,35.62835913830628,32.4313,30.1272,30.1272,32.42823333333333,30.95246216216216,0.3599,4.5775,4.0761,0.7978333333333333,3.0307054054054063,19.0,5,5.0
14,os1701l2c076_ctd,71.99834,198.0025,2017-09-02 15:12:06+00:00,26.72185344116641,31.6799,30.7039,30.7056,31.32246666666667,30.844610714285718,2.8975,4.2701,4.2055,3.704216666666667,4.111371428571428,24.0,5,5.0
15,os1701l2c077_ctd,71.99516,197.97717,2017-09-02 15:46:06+00:00,28.70111564241257,31.7858,30.6966,30.6966,31.675683333333332,30.92390666666667,2.5731,4.3314,4.169,3.0751166666666667,3.9785866666666663,23.5,5,5.0
16,os1701l2c078_ctd,71.99916999999999,196.338,2017-09-02 22:04:26+00:00,35.62835816076732,32.5309,30.9981,31.0031,32.34693333333333,31.46732702702703,1.0808,6.0239,4.5472,1.4864333333333333,4.277427027027027,19.0,5,5.0
17,os1701l2c079_ctd,72.00317,194.69683999999998,2017-09-03 14:18:49+00:00,37.607520710487435,32.6962,31.765,31.765,32.68555,31.982448717948717,3.4945,5.2565,5.2148,3.5465,4.864702564102561,29.0,5,5.0
18,os1701l2c080_ctd,72.0005,193.10433999999998,2017-09-03 18:53:10+00:00,42.555368599115354,32.663000000000004,32.1665,32.1684,32.65846666666666,32.32557727272727,2.7197,5.6198,5.6194,2.9070666666666667,4.72941590909091,28.0,5,5.0
19,os1701l2c081_ctd,72.00766999999999,193.09267,2017-09-03 19:23:09+00:00,43.544905726019785,32.6492,32.1656,32.16559999999999,32.62801666666667,32.33405777777778,2.3135,5.5799,5.5782,2.5993,4.586026666666666,27.0,5,5.0
20,os1701l2c082_ctd,72.012665,191.487,2017-09-04 02:32:18+00:00,45.5239863790524,32.8551,31.9963,31.9965,32.85196666666666,32.3834914893617,3.1647,6.2547,6.2524000000000015,3.1810666666666667,5.02057021276596,25.0,5,5.0
