Processing Date:    Oct 17, 2015
project: BERING STRAIT   mooring ID: A311   type: SBE37 s/n:  5361 Version:2.6b 
position:   lat:  66 19.590 N    long: 168 57.500 W
water depth:    57 m     instrument depth:   44 m
1st record (yr/jd/utc):         2011/195/0000
time in water (yr/jd/utc):      2011/195/2206
time at depth (yr/jd/utc):      2011/195/2212
1st GOOD RECORD (yr/jd/utc):    2011/195/2215
last GOOD RECORD (yr/jd/utc):   2012/195/2115
time released (yr/jd/utc):      2012/195/2127
time out of water (yr/jd/utc):  2012/195/2143
last record (yr/jd/utc):        2012/196/2330
time interval (min):      15

converted pre cal data file: mc5361_A3-11recov.asc                   

Data timeweighted between pre and post calibration
Date of precal: Jan11          
                                                           
* S>                                                       
* SBE37-SM V 2.6b  5361                                    
* temperature:  14-jan-11                                  
*     TA0 = -3.005754e-05                                  
*     TA1 = 2.868385e-04                                   
*     TA2 = -3.255899e-06                                  
*     TA3 = 1.734591e-07                                   
* conductivity:  14-jan-11                                 
*     G = -9.949409e-01                                    
*     H = 1.526661e-01                                     
*     I = -3.415300e-05                                    
*     J = 2.871442e-05                                     
*     CPCOR = -9.570000e-08                                
*     CTCOR = 3.250000e-06                                 
*     WBOTC = 1.907653e-05                                 
* pressure S/N 2382757, range = 508 psia:  28-dec-10       
*     PA0 = -3.241329e-02                                  
*     PA1 = 2.399163e-02                                   
*     PA2 = 1.717664e-09                                   
*     PTCA0 = 5.551403e+01                                 
*     PTCA1 = 2.225984e-01                                 
*     PTCA2 = -1.320056e-02                                
*     PTCSB0 = 2.543912e+01                                
*     PTCSB1 = -3.750000e-04                               
*     PTCSB2 = 0.000000e+00                                
*     POFFSET = 0.000000e+00                               
* rtc:  14-jan-11                                          
*     RTCA0 = 9.999801e-01                                 
*     RTCA1 = 1.739719e-06                                 
*     RTCA2 = -3.278587e-08                               
                                                           
Date of poscal: Jan11          
Postcal made by dividing by slope and adding offset
Temperature:  slope=  1.00000; offset=   0.00000
Conductivity: slope=  1.00000; offset=   0.00000
Pressure:     slope=  1.00000; offset=   0.00000
 
Mean of Pos-Pre Temp:   0.0000 deg C
Mean of Pos-Pre Cond:   0.0000 S/m
Notes: salinity calculated with SBE P
Mooring issues:                                            
- instrument deployed vertically clamped to side of ADCP syn
- instrument depth estimated from own pressure sensor      
- biofouling was light/moderate                            
Instrument issues:                                         
- sensor intake still clear on recovery                    
- post deployment clock check not available                
- no postcalibration available. (Other postcruise calibrated
instruments show that a 1-year deployment can change the   
salinity calibration by between 0.02 and 0.1 psu.)         
- two other instruments on mooring also recorded TS data,  
however those instruments' records are suspect due to      
silting of the salinity cell.                              
Data issues:                                               
- some spikes in salinity                                  
- Praw is instrument reading converted to db               
- PDep is Praw minus average surface pressure              
- no correction made for surface atmospheric pressure      
Project:                                                   
- part of Woodgate-Weingartner Bering Strait NSF-AON project
data format:
nnnnnn  Year Mn Dy Hr Mi    Praw    Pdep   Depth    Temp     Cond    Salt  Julianday
nnnnnn  yyyy mm dd hh mm    dBar    dBar     m      degC      S/m     psu  dddd.dddd
123456789-123456789-123456789-123456789-123456789-123456789-123456789-123456789-123456789
#
     1  2011 07 14 00 00   -0.15   -0.05   -0.05  11.188   0.0000   0.006   195.0000
     2  2011 07 14 00 15   -0.15   -0.05   -0.05  11.221   0.0000   0.006   195.0104
     3  2011 07 14 00 30   -0.15   -0.05   -0.05  11.265   0.0000   0.006   195.0208
     4  2011 07 14 00 45   -0.15   -0.05   -0.05  11.318   0.0000   0.006   195.0312
     5  2011 07 14 01 00   -0.15   -0.05   -0.05  11.383   0.0000   0.006   195.0417
     6  2011 07 14 01 15   -0.15   -0.05   -0.05  11.438   0.0000   0.006   195.0521
     7  2011 07 14 01 30   -0.15   -0.05   -0.05  11.453   0.0000   0.006   195.0625
     8  2011 07 14 01 45   -0.15   -0.05   -0.05  11.490   0.0000   0.006   195.0729
     9  2011 07 14 02 00   -0.14   -0.04   -0.04  11.529   0.0000   0.006   195.0833
    10  2011 07 14 02 15   -0.14   -0.04   -0.04  11.555   0.0000   0.006   195.0938
    11  2011 07 14 02 30   -0.14   -0.04   -0.04  11.580   0.0000   0.006   195.1042
    12  2011 07 14 02 45   -0.14   -0.04   -0.04  11.600   0.0000   0.006   195.1146
    13  2011 07 14 03 00   -0.14   -0.04   -0.04  11.586   0.0000   0.006   195.1250
    14  2011 07 14 03 15   -0.14   -0.04   -0.04  11.597   0.0000   0.006   195.1354
    15  2011 07 14 03 30   -0.14   -0.04   -0.04  11.618   0.0000   0.006   195.1458
    16  2011 07 14 03 45   -0.14   -0.04   -0.04  11.600   0.0000   0.006   195.1562
    17  2011 07 14 04 00   -0.14   -0.04   -0.04  11.595   0.0000   0.006   195.1667
    18  2011 07 14 04 15   -0.14   -0.04   -0.04  11.585   0.0000   0.006   195.1771
    19  2011 07 14 04 30   -0.14   -0.04   -0.04  11.552   0.0000   0.006   195.1875
    20  2011 07 14 04 45   -0.14   -0.04   -0.04  11.510   0.0000   0.006   195.1979
    21  2011 07 14 05 00   -0.14   -0.04   -0.04  11.491   0.0000   0.006   195.2083
    22  2011 07 14 05 15   -0.14   -0.04   -0.04  11.529   0.0000   0.006   195.2188
    23  2011 07 14 05 30   -0.14   -0.04   -0.04  11.584   0.0000   0.006   195.2292
    24  2011 07 14 05 45   -0.14   -0.03   -0.03  11.655   0.0000   0.006   195.2396
    25  2011 07 14 06 00   -0.14   -0.04   -0.04  11.725   0.0000   0.006   195.2500
    26  2011 07 14 06 15   -0.14   -0.03   -0.03  11.790   0.0000   0.006   195.2604
    27  2011 07 14 06 30   -0.14   -0.03   -0.03  11.864   0.0000   0.006   195.2708
    28  2011 07 14 06 45   -0.14   -0.03   -0.03  11.932   0.0000   0.006   195.2812
    29  2011 07 14 07 00   -0.14   -0.03   -0.03  11.994   0.0000   0.006   195.2917
