%** ============================================================================= **
%**                     BERING STRAIT MONTHLY MEANS                               **
%** ============================================================================= **
%** Processed Jan2021 from transalla3 and v4 etc  **
%**                                               **
%**   Contact: Rebecca Woodgate (woodgate@apl.washington.edu) (206)-221-3268
%**   Background: http://psc.apl.washington.edu/BeringStrait.html
%**                                                            
%** If you use these data, especially for publications, please:
%**    a) Email me with the publication reference
%**    b) Cite the data, viz:
%**                                                            
%** CITATIONS:  
%** 1) Woodgate R.A., K.Stafford, F.Prahl, 2015, 
%** A Synthesis of Year-round Interdisciplinary Mooring Measurements  
%** in the Bering Strait (1990-2014) and the RUSALCA years (2004-2011), 
%** Oceanography 28(3):46-67, doi:10.5670/oceanog.2015.57 
%** 2) Woodgate, R.A., 2018                                 
%** Increases in the Pacific inflow to the Arctic from 1990 to 2015, and 
%** insights into seasonal trends and driving mechanisms from year-round 
%** Bering Strait mooring data
%** Progress in Oceanography
%** 3) Woodgate, R.A., and C.Peralta-Ferriz, 2021 submitted
%** Warming and Freshening of the Pacific Inflow to the Arctic from 1990-2019
%** implying dramatic shoaling in Pacific Winter Water ventilation of the
%** Arctic water column, submitted to Geophysical Research Letters
%** 4) Woodgate, R.A.,2020
%** Freshening of the Pacific inflow to the Arctic, ASOF conference      
%** 28th Sept 2020, https://asof.awi.de/outputs/island-2020 
%**                                                            
%** See those references for methods and data isses                      
%**                                                            
%** ============================================================================= **
%** Mooring = number signifies A1, A2, A3, A4                            
%** Mean = monthly mean for given year and month (uncorrected data)      
%** Error = error in that mean      
%** MeanCorr = if present, monthly mean using corrected data 
%**   (vel/trans corrected for instrument depths and dropouts;
%**   salinity corrected for biofouling - see Woodgate 2018
%** CorrErr = error in that mean    
%** NaN = insufficient data to compute annual mean                       
%** ============================================================================= **
%** ============================================================================= **
%** =========== Volume Trans (Sv) from A3 ======================================= ** 
%** ============(does not include corrections for ACC or stratification) ======== ** 
%** ============================================================================= ** 
%
% Mooring  Year    Month   Mean  Error        Mean  Error
     3     1990      1     NaN     NaN        NaN     NaN
     3     1990      2     NaN     NaN        NaN     NaN
     3     1990      3     NaN     NaN        NaN     NaN
     3     1990      4     NaN     NaN        NaN     NaN
     3     1990      5     NaN     NaN        NaN     NaN
     3     1990      6     NaN     NaN        NaN     NaN
     3     1990      7     NaN     NaN        NaN     NaN
     3     1990      8     NaN     NaN        NaN     NaN
     3     1990      9    0.55    0.19       0.60    0.21
     3     1990     10    0.57    0.27       0.62    0.30
     3     1990     11    1.01    0.47       1.09    0.51
     3     1990     12    0.90    0.32       0.98    0.34
     3     1991      1    0.47    0.42       0.51    0.46
     3     1991      2    0.12    0.38       0.13    0.41
     3     1991      3    0.54    0.22       0.59    0.24
     3     1991      4    0.81    0.14       0.88    0.16
     3     1991      5    1.11    0.30       1.20    0.32
     3     1991      6    1.58    0.14       1.70    0.15
     3     1991      7    1.37    0.12       1.48    0.13
     3     1991      8    1.40    0.17       1.52    0.19
     3     1991      9    1.32    0.12       1.43    0.13
     3     1991     10    0.97    0.18       1.04    0.20
     3     1991     11    0.96    0.20       1.03    0.22
     3     1991     12   -0.08    0.38      -0.08    0.41
     3     1992      1    0.77    0.13       0.83    0.14
     3     1992      2    0.88    0.39       0.95    0.42
     3     1992      3    0.68    0.13       0.73    0.14
     3     1992      4    0.95    0.21       1.03    0.23
     3     1992      5    1.04    0.13       1.12    0.14
     3     1992      6    1.11    0.13       1.20    0.14
     3     1992      7    1.18    0.22       1.27    0.24
     3     1992      8    0.65    0.18       0.70    0.19
     3     1992      9   -0.02    0.14      -0.03    0.15
     3     1992     10     NaN     NaN        NaN     NaN
     3     1992     11     NaN     NaN        NaN     NaN
     3     1992     12     NaN     NaN        NaN     NaN
     3     1993      1     NaN     NaN        NaN     NaN
     3     1993      2     NaN     NaN        NaN     NaN
     3     1993      3     NaN     NaN        NaN     NaN
     3     1993      4     NaN     NaN        NaN     NaN
     3     1993      5     NaN     NaN        NaN     NaN
     3     1993      6     NaN     NaN        NaN     NaN
     3     1993      7     NaN     NaN        NaN     NaN
     3     1993      8     NaN     NaN        NaN     NaN
     3     1993      9     NaN     NaN        NaN     NaN
     3     1993     10     NaN     NaN        NaN     NaN
     3     1993     11     NaN     NaN        NaN     NaN
     3     1993     12     NaN     NaN        NaN     NaN
