StationID,Year,StationNumber,LatitudeStart DD,LongitudeStart DD,Depth (m),PARIrradiance uE,PrimaryTemperature deg. C,PrimarySalinity PSU,PrimaryOxygenSat %,SigmaTheta kg/m3
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,0.0,5.9752,6.5643,29.8799,107.83211,23.442444
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,1.0,5.9752,6.5643,29.8799,107.83211,23.442444
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,2.0,5.9752,6.5643,29.8799,107.83211,23.442444
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,3.0,5.3885,6.5609,29.8791,107.864235,23.44226
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,4.0,4.714,6.5238,29.8767,107.58518,23.444824
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,5.0,4.1753,6.3842,29.861,107.622406,23.44934
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,6.0,3.8321,6.3196,29.8641,107.67505,23.459473
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,7.0,3.4887,6.2767,29.8668,107.715866,23.466614
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,8.0,3.2443,6.2653,29.871,107.72188,23.471313
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,9.0,3.0276,6.2449,29.8746,107.61562,23.476624
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,10.0,2.8638,6.2245,29.8798,107.64016,23.483032
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,11.0,2.7172,6.2048,29.883,107.91238,23.488037
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,12.0,2.5886,6.1801,29.8843,105.53756,23.491821
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,13.0,2.4791,4.6071,30.6539,128.20639,24.27185
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,14.0,2.3781,1.0698,31.6012,140.82262,25.30896
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,15.0,2.2798,0.0014,31.6785,136.39203,25.425415
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,16.0,2.1762,-0.6427,31.8061,135.12447,25.553589
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,17.0,2.0817,-0.6696,31.8994,133.32635,25.630005
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,18.0,1.9967,-0.8158,31.975,132.93947,25.69629
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,19.0,1.9129,-0.8618,32.0448,130.55367,25.75415
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,20.0,1.845,-1.0247,32.1224,127.622665,25.822144
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,21.0,1.7808,-1.1285,32.1876,120.07873,25.878052
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,22.0,1.7282,-1.2758,32.2911,102.36452,25.966187
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,23.0,1.6825,-1.3955,32.3988,85.97124,26.056763
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,24.0,1.6338,-1.4373,32.397,83.64303,26.056274
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,25.0,1.585,-1.4452,32.3972,82.184616,26.056763
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,26.0,1.5224,-1.4565,32.3972,81.20951,26.057007
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,27.0,1.4705,-1.4719,32.3967,80.58995,26.057007
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,28.0,1.4244,-1.4811,32.396,79.99906,26.056519
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,29.0,1.3857,-1.4838,32.3956,79.69995,26.056396
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,30.0,1.3513,-1.4874,32.3954,79.14227,26.056396
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,31.0,1.3195,-1.4932,32.3946,78.65243,26.055786
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,32.0,1.2957,-1.5006,32.3944,78.12137,26.055786
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,33.0,1.2735,-1.5003,32.3941,77.86537,26.05542
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,34.0,1.2547,-1.4995,32.394,77.50236,26.05542
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,35.0,1.2394,-1.498,32.3942,76.81259,26.05542
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,36.0,1.2268,-1.4923,32.3949,76.11428,26.05603
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,37.0,1.2167,-1.4877,32.3953,75.46561,26.056274
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,38.0,1.2084,-1.4845,32.3958,74.96977,26.056519
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,39.0,1.2018,-1.4822,32.396,74.64091,26.05664
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,40.0,1.1953,-1.4818,32.3957,74.32652,26.056396
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,41.0,1.1902,-1.4813,32.3956,74.16618,26.056396
os1901l1c033,2019,33,71.5999984741211,161.51583862304688,42.0,1.1858,-1.4811,32.3955,74.109695,26.056274
