StationID,Year,ArcticEis_Station,StationNumber,EventStartDate (GMT),Latitude,Longitude,LatitudeStart DD,LongitudeStart DD,BottomDepth (m),Depth (m),PrimarySalinity PSU,PrimaryTemperature deg. C,ChlorophyllA ug/L,BeamTransmisson %,PARIrradiance uE,PrimaryOxygenSat %,SigmaTheta kg/m3,PO4 uM,SiO4 uM,NO3 uM,NO2 uM,NH4 uM,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,0,32.5325,1.8022,5.636152838,81.4241,,112.3886,26.009,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,1,32.5325,1.8022,5.636152838,81.4241,,112.3886,26.009,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,2,32.5325,1.8022,5.636152838,81.4241,35.844,112.3886,26.009,1.005115,7.438049,3.033941,0.06850835,1.379954,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,3,32.5326,1.8017,5.586853513,82.036,21.383,112.3333,26.009,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,4,32.5324,1.8005,5.886278859,82.5575,16.383,112.2904,26.009,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,5,32.5327,1.8047,5.972880331,82.8136,11.864,112.3286,26.009,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,6,32.5331,1.7953,6.188022986,82.3355,9.8712,112.2742,26.01,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,7,32.5355,1.7706,6.292267366,82.5476,7.5939,111.7275,26.014,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,8,32.53753,1.6322,5.919749975,82.9711,5.8572,110.8161,26.025,,,,,,,,,
'2012080100101,2012,CH-A01,1,8/7/2012,66.00,-168.00,65.998,-168.497,53,9,32.54157,1.5572,6.16170985,83.0142,4.5958,109.9077,26.033,,,,,,,,,
