StationID,Year,ArcticEis_Station,StationNumber,EventStartDate (GMT),Latitude,Longitude,LatitudeStart DD,LongitudeStart DD,BottomDepth (m),Depth (m),PrimarySalinity PSU,PrimaryTemperature deg. C,ChlorophyllA ug/L,BeamTransmisson %,PARIrradiance uE,PrimaryOxygenSat %,SigmaTheta kg/m3,PO4 uM,SiO4 uM,NO3 uM,NO2 uM,NH4 uM
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,27,31.7415,4.8968,,,0.54178,,25.10417,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,26,31.7405,5.0295,,,0.62425,,25.08908,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,25,31.7444,5.1107,,,0.65923,,25.08332,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,24,31.7423,5.1667,,,0.69273,,25.0755,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,23,31.7564,5.2716,,,0.73263,,25.07504,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,22,31.6888,6.1688,,,0.83173,,24.91701,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,21,31.6396,6.8039,,,0.95993,,24.79861,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,20,31.6016,7.3759,,,0.99407,,24.69313,0.349,4.8,0,0.01,0.19
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,19,31.5081,7.7011,,,1.0622,,24.5751,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,18,31.2459,7.9245,,,1.1797,,24.33808,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,17,31.0304,8.0535,,,1.3872,,24.15083,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,16,30.7619,8.3246,,,1.5779,,23.90166,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,33,31.8183,4.3345,,,0.3489,,25.22336,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,32,31.8111,4.393966,,,0.38562,,25.21166,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,31,31.8039,4.453433,,,0.42234,,25.19991,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,30,31.7967,4.5129,,,0.45906,,25.18812,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,29,31.7867,4.5607,,,0.48696,,25.17528,,,,,
'2013080101101,2013,CH-B01,11,8/9/2013,66.00,-169.00,66.498,-168.503,52,28,31.7591,4.7002,,,0.5245,,25.13891,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,3,30.5831,9.2379,,,75.644,,23.62579,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,2,30.1677,9.9959,,,96.276,,23.18253,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,1,30.0638,10.2125,,,225.78,,23.06653,,,,,
'2013080101701,2013,CH-C03,17,8/10/2013,67.00,-166.00,67.002,-165.948,24,0,30.0152,10.326,,,551.03,,23.01013,0.271,2.8,0.3,0.03,0.29
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,21,31.4318,6.6474,,,9.7821,,24.65494,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,20,31.3428,7.0576,,,13.46154,,24.532,0.264,1.8,0.2,0.01,0.22
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,19,31.2538,7.4678,,,15.73726,,24.40734,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,18,31.15845,7.706715,,,18.01298,,24.29978,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,17,31.0631,7.94563,,,20.28869,,24.19168,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,16,30.96774,8.184546,,,22.56441,,24.08306,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,15,30.87239,8.423461,,,24.84013,,23.97392,,,,,
'2013080101901,2013,CH-C04,19,8/11/2013,67.00,-165.00,67.002,-164.66,27,14,30.77703,8.662376,,,27.11585,,23.86426,,,,,
